level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1887	14	0.07740991485403717	0.00023223152155518427	GALNT5	28	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2228	15	0.0779375473996664	0.00023223152155518427	EDEM1	225	
OncotreeSubtype	Colon Adenocarcinoma	USE_439	1	0.12498913978799153	8.112627098211247e-06	MPP7	54	
OncotreeSubtype	Colon Adenocarcinoma	USE_1938	2	0.12975219199090055	8.112627098211247e-06	IRS1	574	
OncotreeSubtype	Colon Adenocarcinoma	USE_2443	3	0.12977315932260627	8.112627098211247e-06	ANXA10	66	
OncotreeSubtype	Colon Adenocarcinoma	USE_577	4	0.13329231252844997	8.112627098211247e-06	KIF18A	129	
OncotreeSubtype	Colon Adenocarcinoma	USE_674	5	0.13711220967157833	8.112627098211247e-06	FGF3	100	
OncotreeSubtype	Colon Adenocarcinoma	USE_580	6	0.13760016604015343	8.112627098211247e-06	PDHX	41	
OncotreeSubtype	Colon Adenocarcinoma	USE_2400	7	0.1376300864574453	8.112627098211247e-06	HS3ST1	287	
OncotreeSubtype	Colon Adenocarcinoma	USE_3079	8	0.14198126811586803	1.032897961602414e-05	POU5F1B	114	
OncotreeSubtype	Colon Adenocarcinoma	USE_1940	9	0.14594386538315035	1.2871576893416465e-05	IRS1	91	
OncotreeSubtype	Colon Adenocarcinoma	USE_2309	10	0.1483971444742111	1.3057580550701614e-05	ZBTB20	83	
OncotreeSubtype	Colon Adenocarcinoma	USE_304	11	0.1484876652620312	1.3057580550701614e-05	TBX19	110	
OncotreeSubtype	Colon Adenocarcinoma	USE_2915	12	0.15254092495258187	1.6809609765554748e-05	KLF14	117	
OncotreeSubtype	Colon Adenocarcinoma	USE_2294	13	0.15523682409123019	1.940882878634156e-05	GPR15	22	
OncotreeSubtype	Colon Adenocarcinoma	USE_3080	14	0.15953031715668	2.450603700612975e-05	POU5F1B	99	
OncotreeSubtype	Colon Adenocarcinoma	USE_3072	15	0.15981439685855725	2.450603700612975e-05	TRIB1	248	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_515	1	0.053115227177576295	2.4317204846135938e-06	EMX2	1	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_570	2	0.055546673734353305	2.4317204846135938e-06	SPON1	151	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2560	3	0.07877345807064803	1.0381477313655322e-05	FGF18	16	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_685	4	0.0895833549268821	1.7888099508533977e-05	P2RY6	26	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_55	5	0.10747276146305532	5.418464681810077e-05	TMEM51	156	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_1551	6	0.11652249635505066	8.66776090868809e-05	KLHL14	48	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_694	7	0.12129339701748279	9.44110631849737e-05	EMSY	78	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2978	8	0.12179257794930631	9.44110631849737e-05	SOX17	6	SOX17
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2470	9	0.12682848007184977	0.00011384250694192489	CDH6	190	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_365	10	0.1276684338379891	0.00011384250694192489	DUSP10	358	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_950	11	0.13452686516396473	0.00015957926898707578	SIAH3	57	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_691	12	0.13556680271294536	0.00015957926898707578	GDPD5	13	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2986	13	0.1366953877229553	0.00015957926898707578	SULF1	492	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2778	14	0.13751751116280375	0.00015957926898707578	AGPAT4	282	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2094	15	0.14863713645991394	0.00029987040049025623	SPO11	51	
OncotreeSubtype	Invasive Breast Carcinoma	USE_1151	1	0.15511386896788837	0.002951548199771448	NR2F2	437	
OncotreeSubtype	Invasive Breast Carcinoma	USE_333	2	0.16547273874616947	0.0030445873130753582	NAV1	57	
OncotreeSubtype	Invasive Breast Carcinoma	USE_2762	3	0.17426157218834992	0.0036907325606724056	CCDC170	75	ESR1
OncotreeSubtype	Invasive Breast Carcinoma	USE_3296	4	0.18236475249002648	0.004739948857614379	PLS3	280	
OncotreeSubtype	Invasive Breast Carcinoma	USE_1439	5	0.20472374826033934	0.013537756722683767	TBX2	49	
OncotreeSubtype	Invasive Breast Carcinoma	USE_1552	6	0.2105084684040607	0.013537756722683767	SLC39A6	20	
OncotreeSubtype	Invasive Breast Carcinoma	USE_2128	7	0.21161796115537584	0.013537756722683767	NRIP1	191	
OncotreeSubtype	Invasive Breast Carcinoma	USE_2028	8	0.21165021226119726	0.013537756722683767	ZMYND8	108	
OncotreeSubtype	Invasive Breast Carcinoma	USE_2522	9	0.2129763399273641	0.013537756722683767	ISOC1	25	
OncotreeSubtype	Invasive Breast Carcinoma	USE_3151	10	0.2139830673669647	0.013537756722683767	IFNE	132	
OncotreeSubtype	Invasive Breast Carcinoma	USE_2763	11	0.2154118873826541	0.013537756722683767	CCDC170	109	ESR1
OncotreeSubtype	Invasive Breast Carcinoma	USE_219	12	0.2217834422252578	0.016954571978530085	SRGAP2C	3473	
OncotreeSubtype	Invasive Breast Carcinoma	USE_3187	13	0.22211381627180093	0.016954571978530085	KLF4	17	
OncotreeSubtype	Invasive Breast Carcinoma	USE_3152	14	0.2235092311925512	0.017064114316223865	MTAP	82	
OncotreeSubtype	Invasive Breast Carcinoma	USE_418	15	0.22682087004790774	0.019252431621216645	GATA3	1123	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2100	1	0.03171121352556792	4.0261718222134304e-06	CDH4	95	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2866	2	0.03558793322667396	4.0261718222134304e-06	PVRIG	0	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_3250	3	0.03665050661746152	4.0261718222134304e-06	SARDH	0	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_3168	4	0.03810810082792068	4.0261718222134304e-06	RORB	349	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2919	5	0.0382158672222262	4.0261718222134304e-06	EXOC4	172	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2162	6	0.03888794568444515	4.0261718222134304e-06	PCNT	39	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_1293	7	0.04380214460678569	4.0261718222134304e-06	RFLNB	25	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2741	8	0.044347276006569916	4.0261718222134304e-06	THEMIS	138	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2926	9	0.045196731205137	4.0261718222134304e-06	PRSS2	34	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_1871	10	0.046239594154806815	4.0261718222134304e-06	MYO7B	25	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_3146	11	0.04688013993688221	4.0261718222134304e-06	DMAC1	133	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2879	12	0.048059708308039926	4.0261718222134304e-06	MYL10	119	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_2190	13	0.048550845026328435	4.0261718222134304e-06	GRK3	89	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_3169	14	0.04868343251646892	4.0261718222134304e-06	RORB	315	
OncotreeSubtype	T-Cell Acute Lymphoblastic Leukemia	USE_26	15	0.051331047073408506	4.267795959640723e-06	NPHP4	48	
