sample	A	B	n_enriched	n_background	is_ref	fitted
SRX067407	0.4209140084294476	1.208300474149818	2217	80586	False	True
SRX1272784	1.0000000000683995	0.999999999991406	5049	151778	True	True
SRX13351040	1.8580397224223966	0.8303913214579366	1665	72840	False	True
SRX13941917	1.2340406453467505	0.9341504155210046	2471	78816	False	True
SRX14138490	0.6144331141131051	1.048195381590769	2210	72698	False	True
SRX152074	0.8164296692155377	1.1628739759098712	2423	91168	False	True
SRX3001757	0.6863725607948975	1.2031080060322228	2448	80200	False	True
SRX5974500	1.2805247842515084	0.9645204222404877	1769	103242	False	True
SRX8588595	0.9070491406180461	1.1690900668717292	2277	87084	False	True
