level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3280	6	0.05736006664670245	0.0005185044532212945	MAGIX	17	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_455	7	0.057872366464202345	0.000525964911450693	HK1	19	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2390	8	0.05842411848639619	0.0005312717532232652	WDR1	82	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_708	9	0.0585012882275845	0.0005312717532232652	JRKL	1515	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2221	10	0.06153990365887438	0.0005846789697743584	EDEM1	225	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_2598	11	0.06328506532764507	0.0006173960235977424	HIVEP1	151	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_734	12	0.06651520474770359	0.0007116948069426047	IQSEC3	84	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_3292	13	0.06751056785328413	0.0007203648504403885	TEX13C	79	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_1153	14	0.06753470269830963	0.0007203648504403885	OR4F4	32	
OncotreeSubtype	Chronic Myeloid Leukemia, BCR-ABL1+	USE_448	15	0.06850596968832386	0.0007407671363813993	ARHGAP22	81	
OncotreeSubtype	Colon Adenocarcinoma	USE_438	1	0.06852536456569339	0.001231241948430597	MPP7	54	
OncotreeSubtype	Colon Adenocarcinoma	USE_1932	2	0.0688739310654044	0.0012360860695403992	IRS1	574	
OncotreeSubtype	Colon Adenocarcinoma	USE_2302	3	0.07110682400038047	0.001321638803569608	ZBTB20	83	
OncotreeSubtype	Colon Adenocarcinoma	USE_2436	4	0.07803965033256938	0.001739509835973274	ANXA10	66	
OncotreeSubtype	Colon Adenocarcinoma	USE_2393	5	0.08110671416053317	0.001944520251624355	HS3ST1	287	
OncotreeSubtype	Colon Adenocarcinoma	USE_1507	6	0.08170800879509742	0.0019731534943998605	AATK	5	
OncotreeSubtype	Colon Adenocarcinoma	USE_3071	7	0.08426994298328214	0.002185204179750654	POU5F1B	114	
OncotreeSubtype	Colon Adenocarcinoma	USE_2510	8	0.08550555085153083	0.0022643818188222485	AP3S1	51	
OncotreeSubtype	Colon Adenocarcinoma	USE_576	9	0.08577359594515283	0.0022763844908696984	KIF18A	129	
OncotreeSubtype	Colon Adenocarcinoma	USE_3064	10	0.08666272275354439	0.0023398343485486884	TRIB1	248	
OncotreeSubtype	Colon Adenocarcinoma	USE_2747	11	0.0875441356686738	0.0024302492304639936	UTRN	328	
OncotreeSubtype	Colon Adenocarcinoma	USE_2399	12	0.09095370750428686	0.002763734141565765	PCDH7	130	
OncotreeSubtype	Colon Adenocarcinoma	USE_2907	13	0.09259081547271007	0.002874800210108035	KLF14	117	
OncotreeSubtype	Colon Adenocarcinoma	USE_877	14	0.09261857574416718	0.002874800210108035	DUSP6	402	
OncotreeSubtype	Colon Adenocarcinoma	USE_2392	15	0.09356580561244987	0.002930858946334832	HS3ST1	134	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_569	1	0.038472781111880065	8.037428187251968e-06	SPON1	151	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_514	2	0.04183954185614337	8.037428187251968e-06	EMX2	1	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2552	3	0.06188331345664688	1.046105287804136e-05	FGF18	16	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_684	4	0.0674060123328093	1.2666245865156105e-05	P2RY6	26	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_1546	5	0.07005901055640647	1.3746133718445256e-05	KLHL14	48	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2087	6	0.07924900443974364	2.4426417650683392e-05	SPO11	51	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_54	7	0.08029871376581069	2.5218069469320004e-05	TMEM51	156	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2970	8	0.08194229683115165	2.7177473660482155e-05	SOX17	6	SOX17
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_693	9	0.08803600551012153	3.871363022206485e-05	EMSY	78	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_473	10	0.08845003391199957	3.911065129205642e-05	LRMDA	148	
OncotreeSubtype	High-Grade Serous Ovarian Cancer	USE_2978	11	0.10133231452947508	8.605178869801607e-05	SULF1	492	
