level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Lymphoid	USE_231	1.041	TMEM201	40
OncotreeLineage	rescued	CNS/Brain	USE_39980	14.478	POU5F1B	279
OncotreeLineage	rescued	Kidney	USE_30529	0.904	PDGFC	23
OncotreeLineage	rescued	Testis	USE_24904	1.178	CDH4	159
OncotreeLineage	rescued	Lung	USE_39092	1.099	PEX2	274
OncotreeLineage	rescued	Lymphoid	USE_30234	0.925	PRDM5	34
OncotreeLineage	rescued	Bowel	USE_17152	1.116	AKAP1	4
OncotreeLineage	rescued	Peripheral Nervous System	USE_40681	0.942	FREM1	108
OncotreeLineage	rescued	Myeloid	USE_24051	1.148	CD93	7
OncotreeLineage	rescued	Lymphoid	USE_25808	0.988	TOP3B	71
OncotreeLineage	rescued	Skin	USE_40695	0.921	CCDC171	40
OncotreeLineage	rescued	CNS/Brain	USE_31073	0.994	H3Y1	64
OncotreeLineage	rescued	Lung	USE_11558	0.914	GPC5	992
OncotreeLineage	rescued	Lymphoid	USE_7232	1.081	EHBP1L1	3
OncotreeLineage	rescued	Bone	USE_23304	1.013	NYAP2	229
OncotreeLineage	rescued	Lymphoid	USE_38455	1.045	HMBOX1	83
OncotreeLineage	rescued	Lymphoid	USE_27652	0.956	CCDC54	496
OncotreeLineage	rescued	Myeloid	USE_31849	0.874	MEF2C	238
OncotreeLineage	rescued	Myeloid	USE_39325	1.337	SDC2	18
OncotreeLineage	rescued	Breast	USE_25737	0.976	COMT	7
OncotreeLineage	rescued	Peripheral Nervous System	USE_17730	1.764	TNRC6C	230
OncotreeLineage	rescued	Bone	USE_34238	1.015	COL21A1	33
OncotreeLineage	rescued	Pleura	USE_3340	0.996	NEK7	28
OncotreeLineage	rescued	Lymphoid	USE_32604	0.942	GRIA1	222
OncotreeLineage	rescued	Lymphoid	USE_38440	1.032	PNOC	8
OncotreeLineage	rescued	Skin	USE_2869	1.258	RXRG	45
OncotreeLineage	rescued	Myeloid	USE_7079	1.035	MS4A3	3
OncotreeLineage	rescued	Soft Tissue	USE_695	1.099	OPRD1	29
OncotreeLineage	rescued	Lymphoid	USE_30920	1.021	MED10	190
OncotreeLineage	rescued	Myeloid	USE_23432	0.899	INPP5D	31
OncotreeLineage	rescued	Bone	USE_15163	0.982	HS3ST4	114
OncotreeLineage	rescued	Lymphoid	USE_33772	1.067	HLA-DRA	30
OncotreeLineage	rescued	Lymphoid	USE_1880	0.94	NTNG1	139
OncotreeLineage	rescued	Lung	USE_18436	0.97	PIK3C3	355
OncotreeLineage	rescued	Lymphoid	USE_37706	1.153	KDM7A	75
OncotreeLineage	rescued	Lymphoid	USE_39714	1.1	DEPTOR	27
OncotreeLineage	rescued	Lymphoid	USE_3974	1.133	TMEM63A	15
OncotreeLineage	rescued	Lymphoid	USE_6074	0.989	GRK5	27
OncotreeLineage	rescued	Skin	USE_33295	1.457	NEDD9	80
OncotreeLineage	rescued	Lymphoid	USE_16015	1.006	ACSF3	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_6958	1.082	CRY2	11
OncotreeLineage	rescued	Peripheral Nervous System	USE_18434	0.951	PIK3C3	649
OncotreeLineage	rescued	Lymphoid	USE_37453	1.058	LRRC4	77
OncotreeLineage	rescued	Kidney	USE_18409	0.835	ELP2	0
OncotreeLineage	rescued	Lymphoid	USE_4412	0.947	ADARB2	17
OncotreeLineage	rescued	Skin	USE_30946	1.102	SEMA5A	446
OncotreeLineage	rescued	Bowel	USE_28302	1.106	SUCNR1	92
OncotreeLineage	rescued	Lymphoid	USE_9515	1.125	TESPA1	18
OncotreeLineage	rescued	Peripheral Nervous System	USE_42104	1.047	DBH	11
OncotreeLineage	rescued	Lymphoid	USE_21696	1.015	RPIA	31
OncotreeLineage	rescued	Skin	USE_6705	0.911	ANO3	343
OncotreeLineage	rescued	Lymphoid	USE_13329	1.243	TMEM121	1322
OncotreeLineage	rescued	Skin	USE_27504	1.129	EPHA3	143
OncotreeLineage	rescued	Lymphoid	USE_4788	0.96	MYO3A	164
OncotreeLineage	rescued	Skin	USE_10881	1.105	SACS	110
OncotreeLineage	rescued	Skin	USE_16260	0.937	PIK3R6	17
OncotreeLineage	rescued	Skin	USE_13389	0.99	ATP10A	160
OncotreeLineage	rescued	Skin	USE_37521	1.318	KLF14	76
OncotreeLineage	rescued	Liver	USE_28951	0.86	PYDC2	30
OncotreeLineage	rescued	Soft Tissue	USE_24766	1.389	CASS4	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_23241	1.034	PAX3	70
OncotreeLineage	rescued	Lymphoid	USE_18552	1.043	MEX3C	43
OncotreeLineage	rescued	Lymphoid	USE_37538	1.156	MKLN1	71
OncotreeLineage	rescued	Lymphoid	USE_30482	1.027	TMEM154	7
OncotreeLineage	rescued	Myeloid	USE_30725	1.02	CDKN2AIP	9
OncotreeLineage	rescued	CNS/Brain	USE_20823	1.023	TTC27	191
OncotreeLineage	rescued	Breast	USE_17606	1.281	GPR142	25
OncotreeLineage	rescued	Peripheral Nervous System	USE_11504	0.977	NDFIP2	134
OncotreeLineage	rescued	Myeloid	USE_20721	1.055	RBKS	5
OncotreeLineage	rescued	Lymphoid	USE_3986	1.168	PARP1	39
OncotreeLineage	rescued	Peripheral Nervous System	USE_25952	1.035	PITPNB	139
OncotreeLineage	rescued	Bone	USE_38318	1.111	GFRA2	201
OncotreeLineage	rescued	Lymphoid	USE_25746	0.928	CCDC188	9
OncotreeLineage	rescued	Lymphoid	USE_40907	1.037	ZCCHC7	40
OncotreeLineage	rescued	Lung	USE_36800	1.087	CACNA2D1	364
OncotreeLineage	rescued	Lymphoid	USE_35701	1.127	ICA1	11
OncotreeLineage	rescued	Myeloid	USE_41728	0.835	TLR4	7
OncotreeLineage	rescued	Bowel	USE_17650	1.128	MYO15B	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_6254	0.895	MKI67	418
OncotreeLineage	rescued	CNS/Brain	USE_40285	0.948	KHDRBS3	1064
OncotreeLineage	rescued	Lymphoid	USE_33346	1.07	TBC1D7	30
OncotreeLineage	rescued	Lymphoid	USE_15476	1.034	NLRC5	4
OncotreeLineage	rescued	Peripheral Nervous System	USE_18452	0.901	SETBP1	130
OncotreeLineage	rescued	Breast	USE_4561	1.142	GATA3	978
OncotreeLineage	rescued	Lymphoid	USE_6995	1.028	SPI1	10
OncotreeLineage	rescued	Lymphoid	USE_17355	1.075	SCN4A	5
OncotreeLineage	rescued	Myeloid	USE_4796	0.956	APBB1IP	21
OncotreeLineage	rescued	Skin	USE_8062	1.015	TMPRSS5	9
OncotreeLineage	rescued	Lymphoid	USE_30405	0.971	GAB1	13
OncotreeLineage	rescued	Breast	USE_7309	1.338	ALDH3B2	3
OncotreeLineage	rescued	Lymphoid	USE_30902	0.897	IRX1	289
OncotreeLineage	rescued	Lymphoid	USE_15140	1.009	CHP2	102
OncotreeLineage	rescued	Lymphoid	USE_3610	1.236	PIGR	11
OncotreeLineage	rescued	Peripheral Nervous System	USE_9381	1.108	AQP6	9
OncotreeLineage	rescued	Lymphoid	USE_20166	0.933	TPO	77
OncotreeLineage	rescued	Eye	USE_8353	0.724	ETS1	9
OncotreeLineage	rescued	Lymphoid	USE_11543	0.93	SLITRK5	1230
OncotreeLineage	rescued	Peripheral Nervous System	USE_8207	0.842	NECTIN1	96
OncotreeLineage	rescued	Lung	USE_18443	0.957	RIT2	253
OncotreeLineage	rescued	Myeloid	USE_7740	0.964	FAT3	769
OncotreeLineage	rescued	Lymphoid	USE_32683	1.009	EBF1	498
OncotreeLineage	rescued	Lymphoid	USE_8964	1.116	IRAG2	34
OncotreeLineage	rescued	Myeloid	USE_7203	1.042	SLC22A12	25
OncotreeLineage	rescued	Lymphoid	USE_42053	0.989	TTF1	8
OncotreeLineage	rescued	Lymphoid	USE_2907	1.285	RCSD1	43
OncotreeLineage	rescued	Myeloid	USE_32819	0.923	LCP2	29
OncotreeLineage	rescued	Myeloid	USE_15723	0.934	ZNRF1	20
OncotreeLineage	rescued	Bone	USE_1877	1.213	NTNG1	49
OncotreeLineage	rescued	Skin	USE_287	0.964	MTOR	0
OncotreeLineage	rescued	Lymphoid	USE_36471	1.01	ZNF727	399
OncotreeLineage	rescued	Lung	USE_31495	0.935	PDE4D	199
OncotreeLineage	rescued	Myeloid	USE_823	1.096	GJA4	34
OncotreeLineage	rescued	Myeloid	USE_41349	0.928	FGD3	27
OncotreeLineage	rescued	Soft Tissue	USE_12540	1.032	TMEM30B	81
OncotreeLineage	rescued	Lymphoid	USE_34114	0.996	RCAN2	31
OncotreeLineage	rescued	Myeloid	USE_7083	1.046	MS4A7	6
OncotreeLineage	rescued	Breast	USE_25611	1.051	SLC19A1	19
OncotreeLineage	rescued	Myeloid	USE_42274	0.82	P2RY8	45
OncotreeLineage	rescued	Bowel	USE_39929	1.394	TRIB1	252
OncotreeLineage	rescued	Lymphoid	USE_14608	0.96	ARRDC4	184
OncotreeLineage	rescued	Peripheral Nervous System	USE_37252	1.097	PNPLA8	61
OncotreeLineage	rescued	Lymphoid	USE_4706	0.86	ARL5B	332
OncotreeLineage	rescued	Lymphoid	USE_4080	1.116	GALNT2	44
OncotreeLineage	rescued	Bone	USE_15147	1.014	CACNG3	3
OncotreeLineage	rescued	Myeloid	USE_23290	0.866	FAM124B	16
OncotreeLineage	rescued	Myeloid	USE_22341	1.021	ZEB2	145
OncotreeLineage	rescued	Bone	USE_42309	0.738	NLGN4X	281
OncotreeLineage	rescued	Breast	USE_23971	1.174	SLC24A3	65
OncotreeLineage	rescued	Skin	USE_25341	1.033	SETD4	127
OncotreeLineage	rescued	CNS/Brain	USE_40284	0.948	KHDRBS3	1016
OncotreeLineage	rescued	Bone	USE_26866	0.924	PDCD6IP	442
OncotreeLineage	rescued	Lymphoid	USE_42629	0.6	GPR174	0
OncotreeLineage	rescued	Lymphoid	USE_34918	0.975	IL22RA2	57
OncotreeLineage	rescued	Lymphoid	USE_28110	1.011	CEP70	34
OncotreeLineage	rescued	Lymphoid	USE_25487	1.085	UMODL1	11
OncotreeLineage	rescued	Lymphoid	USE_3471	1.233	BTG2	20
OncotreeLineage	rescued	Myeloid	USE_3358	1.221	PTPRC	343
OncotreeLineage	rescued	Lymphoid	USE_10758	0.965	ADGRD1	174
OncotreeLineage	rescued	Myeloid	USE_19250	1.086	CYP4F2	18
OncotreeLineage	rescued	Myeloid	USE_16098	0.85	BHLHA9	73
OncotreeLineage	rescued	Peripheral Nervous System	USE_12927	1.011	FOXN3	136
OncotreeLineage	rescued	Lymphoid	USE_18469	1.059	SLC14A1	31
OncotreeLineage	rescued	Skin	USE_878	1.007	GRIK3	243
OncotreeLineage	rescued	Peripheral Nervous System	USE_32253	1.033	C5orf15	252
OncotreeLineage	rescued	Lymphoid	USE_38682	1.047	CHRNA6	15
OncotreeLineage	rescued	Lung	USE_7748	1.157	FAT3	48
OncotreeLineage	rescued	Bone	USE_1871	1.16	PRMT6	135
OncotreeLineage	rescued	Lymphoid	USE_14413	1.02	AKAP13	234
OncotreeLineage	rescued	Lymphoid	USE_28873	1.11	BCL6	238
OncotreeLineage	rescued	Bone	USE_22085	1.098	C1QL2	36
OncotreeLineage	rescued	Lymphoid	USE_14928	1.017	TNFRSF17	3
OncotreeLineage	rescued	Lymphoid	USE_8816	0.991	ATF7IP	276
OncotreeLineage	rescued	Testis	USE_4126	1.365	DISC1	285
OncotreeLineage	rescued	Lymphoid	USE_27829	1.036	CD86	14
OncotreeLineage	rescued	Myeloid	USE_1837	1.045	DPH5	104
OncotreeLineage	rescued	Lymphoid	USE_38825	1.095	PENK	100
OncotreeLineage	rescued	Bone	USE_22793	1.105	NCKAP1	61
OncotreeLineage	rescued	Lymphoid	USE_39464	1.24	ATP6V1C1	67
OncotreeLineage	rescued	Lymphoid	USE_3395	1.242	KIF21B	34
