level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Lymphoid	USE_42456	0.579	BCOR	254
OncotreeLineage	rescued	Myeloid	USE_13726	1.099	ATP8B4	83
OncotreeLineage	rescued	Peripheral Nervous System	USE_3112	1.369	FAM163A	10
OncotreeLineage	rescued	Skin	USE_3043	1.089	RABGAP1L	136
OncotreeLineage	rescued	Myeloid	USE_20186	0.934	EIPR1	582
OncotreeLineage	rescued	Esophagus/Stomach	USE_1266	0.937	FAM151A	0
OncotreeLineage	rescued	Lymphoid	USE_36879	1.149	CDK14	138
OncotreeLineage	rescued	Lymphoid	USE_7984	1.078	RDX	109
OncotreeLineage	rescued	Lymphoid	USE_12676	1.027	RAD51B	126
OncotreeLineage	rescued	Lymphoid	USE_9676	1.043	LEMD3	0
OncotreeLineage	rescued	Lymphoid	USE_29825	0.952	RASSF6	5
OncotreeLineage	rescued	Lymphoid	USE_40456	1.105	MROH1	5
OncotreeLineage	rescued	Peripheral Nervous System	USE_13468	1.041	CHRNA7	47
OncotreeLineage	rescued	Lung	USE_3190	1.239	APOBEC4	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_30642	1.211	FBXO8	251
OncotreeLineage	rescued	Lymphoid	USE_30313	0.972	C4orf33	518
OncotreeLineage	rescued	Lymphoid	USE_6332	1.067	NLRP6	18
OncotreeLineage	rescued	Bone	USE_42913	0.146	TSPY1	13
OncotreeLineage	rescued	Myeloid	USE_28456	1.0	PDCD10	50
OncotreeLineage	rescued	Peripheral Nervous System	USE_10362	1.094	MVK	44
OncotreeLineage	rescued	Kidney	USE_7634	1.003	TENM4	1094
OncotreeLineage	rescued	Lymphoid	USE_2129	0.934	CD2	7
OncotreeLineage	rescued	Lymphoid	USE_7947	1.058	NPAT	46
OncotreeLineage	rescued	Breast	USE_35163	0.922	CCDC170	100
OncotreeLineage	rescued	Peripheral Nervous System	USE_24699	1.143	TSHZ2	280
OncotreeLineage	rescued	Lymphoid	USE_41487	0.987	ERP44	45
OncotreeLineage	rescued	Breast	USE_19062	0.929	XAB2	5
OncotreeLineage	rescued	Head and Neck	USE_17894	1.28	CD7	2
OncotreeLineage	rescued	Lymphoid	USE_5634	0.942	KIF20B	150
OncotreeLineage	rescued	Peripheral Nervous System	USE_9353	1.149	PRPH	1
OncotreeLineage	rescued	Breast	USE_19459	1.021	RHPN2	3
OncotreeLineage	rescued	Lymphoid	USE_30568	0.944	TMA16	110
OncotreeLineage	rescued	Peripheral Nervous System	USE_30649	1.211	FBXO8	114
OncotreeLineage	rescued	Lung	USE_27673	0.993	RETNLB	7
OncotreeLineage	rescued	Lung	USE_6647	0.907	SAAL1	20
OncotreeLineage	rescued	Lymphoid	USE_31072	0.962	H3Y1	11
OncotreeLineage	rescued	Skin	USE_5759	0.885	PYROXD2	39
OncotreeLineage	rescued	Myeloid	USE_40121	1.528	GSDMC	87
OncotreeLineage	rescued	Skin	USE_23359	0.935	DNER	94
OncotreeLineage	rescued	Bowel	USE_1346	0.97	CYP2J2	16
OncotreeLineage	rescued	Lymphoid	USE_28827	1.127	CRYGS	23
OncotreeLineage	rescued	Peripheral Nervous System	USE_7349	1.078	TPCN2	8
OncotreeLineage	rescued	Lymphoid	USE_40965	0.935	FOXD4L6	67
OncotreeLineage	rescued	Lymphoid	USE_16119	0.956	HIC1	29
OncotreeLineage	rescued	Breast	USE_4963	1.092	CUL2	113
OncotreeLineage	rescued	Myeloid	USE_31203	1.062	SPEF2	232
OncotreeLineage	rescued	Lymphoid	USE_4665	0.942	ITGA8	111
OncotreeLineage	rescued	Peripheral Nervous System	USE_34896	0.953	PDE7B	85
OncotreeLineage	rescued	Skin	USE_29443	0.925	ANAPC4	30
OncotreeLineage	rescued	Skin	USE_35997	1.433	TRIL	36
OncotreeLineage	rescued	Lymphoid	USE_23928	0.968	KIF16B	381
OncotreeLineage	rescued	Bone	USE_2109	1.329	ATP1A1	34
OncotreeLineage	rescued	Lymphoid	USE_30802	0.837	TRIML1	883
OncotreeLineage	rescued	Myeloid	USE_12009	0.973	CMTM5	5
OncotreeLineage	rescued	Myeloid	USE_3359	1.221	PTPRC	347
OncotreeLineage	rescued	Lymphoid	USE_24702	1.116	TSHZ2	232
OncotreeLineage	rescued	Liver	USE_26803	0.927	TGFBR2	391
OncotreeLineage	rescued	Myeloid	USE_17981	1.028	MYOM1	27
OncotreeLineage	rescued	Myeloid	USE_42196	0.996	EGFL7	47
OncotreeLineage	rescued	Lymphoid	USE_19387	0.977	UQCRFS1	818
OncotreeLineage	rescued	Lymphoid	USE_13556	0.993	RASGRP1	119
OncotreeLineage	rescued	Breast	USE_39438	1.587	GRHL2	22
OncotreeLineage	rescued	Liver	USE_34278	1.064	EYS	411
OncotreeLineage	rescued	Skin	USE_2923	1.218	SFT2D2	2
OncotreeLineage	rescued	Myeloid	USE_25566	1.302	GATD3	9
OncotreeLineage	rescued	Myeloid	USE_36152	0.969	ELMO1	293
OncotreeLineage	rescued	Lymphoid	USE_38183	1.035	BLK	25
OncotreeLineage	rescued	Skin	USE_1170	0.891	FOXD2	141
OncotreeLineage	rescued	Lymphoid	USE_38338	1.038	PPP3CC	29
OncotreeLineage	rescued	Lymphoid	USE_1980	0.977	KCNA3	39
OncotreeLineage	rescued	Breast	USE_15895	1.047	GSE1	69
OncotreeLineage	rescued	Breast	USE_28003	1.089	IFT122	11
OncotreeLineage	rescued	Lymphoid	USE_25296	1.088	SLC5A3	70
OncotreeLineage	rescued	Lymphoid	USE_6398	1.001	CD81	1
OncotreeLineage	rescued	Myeloid	USE_16323	0.787	HS3ST3B1	279
OncotreeLineage	rescued	Lymphoid	USE_9012	1.087	BHLHE41	42
OncotreeLineage	rescued	Skin	USE_9084	1.04	CCDC91	419
OncotreeLineage	rescued	Lymphoid	USE_32227	1.056	SLC22A5	44
OncotreeLineage	rescued	Lymphoid	USE_21276	1.071	B3GNT2	74
OncotreeLineage	rescued	Skin	USE_35364	0.851	QKI	655
OncotreeLineage	rescued	Lymphoid	USE_41781	1.002	TTLL11	13
OncotreeLineage	rescued	Myeloid	USE_1704	1.07	GFI1	8
OncotreeLineage	rescued	Lymphoid	USE_34882	1.007	MYB	76
OncotreeLineage	rescued	Bone	USE_27889	1.1	UMPS	32
OncotreeLineage	rescued	Bone	USE_898	1.15	POU3F1	17
OncotreeLineage	rescued	Lymphoid	USE_31425	1.039	IL6ST	85
OncotreeLineage	rescued	Lymphoid	USE_25588	1.072	SLX9	5
OncotreeLineage	rescued	Bone	USE_36586	0.944	GALNT17	100
OncotreeLineage	rescued	Lung	USE_22284	0.931	THSD7B	391
OncotreeLineage	rescued	Kidney	USE_6028	1.175	GFRA1	67
OncotreeLineage	rescued	Lymphoid	USE_4424	0.896	PFKP	222
OncotreeLineage	rescued	Skin	USE_36509	1.238	TPST1	43
OncotreeLineage	rescued	CNS/Brain	USE_13122	1.062	HHIPL1	8
OncotreeLineage	rescued	Myeloid	USE_39582	1.261	CSMD3	1061
OncotreeLineage	rescued	Peripheral Nervous System	USE_19871	0.876	MEIS3	6
OncotreeLineage	rescued	Kidney	USE_41741	0.952	BRINP1	257
OncotreeLineage	rescued	Peripheral Nervous System	USE_30639	1.211	FBXO8	323
OncotreeLineage	rescued	Peripheral Nervous System	USE_30648	1.211	FBXO8	140
OncotreeLineage	rescued	Lymphoid	USE_38177	1.027	XKR6	82
OncotreeLineage	rescued	Lymphoid	USE_42052	0.989	TTF1	12
OncotreeLineage	rescued	Eye	USE_10908	1.25	AMER2	14
OncotreeLineage	rescued	Myeloid	USE_28457	1.0	PDCD10	55
OncotreeLineage	rescued	Lymphoid	USE_26691	1.015	PLCL2	100
OncotreeLineage	rescued	Skin	USE_11799	1.177	COL4A1	134
OncotreeLineage	rescued	Myeloid	USE_4894	0.972	ZNF438	65
OncotreeLineage	rescued	Testis	USE_16329	1.027	PMP22	70
OncotreeLineage	rescued	Lymphoid	USE_2157	0.924	TENT5C	11
OncotreeLineage	rescued	Lymphoid	USE_31064	0.977	BASP1	104
OncotreeLineage	rescued	Breast	USE_8557	1.082	TSPAN9	61
OncotreeLineage	rescued	Lymphoid	USE_24400	1.048	MYBL2	9
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_31116	1.192	CDH6	190
OncotreeLineage	rescued	Lymphoid	USE_35098	0.966	UST	146
OncotreeLineage	rescued	Lymphoid	USE_10994	0.992	UBE2L5	52
OncotreeLineage	rescued	Lymphoid	USE_26221	1.046	GRAP2	36
OncotreeLineage	rescued	Soft Tissue	USE_40259	1.276	ZFAT	320
OncotreeLineage	rescued	Myeloid	USE_12723	0.99	ADAM20	13
OncotreeLineage	rescued	Lung	USE_39937	1.905	LRATD2	471
OncotreeLineage	rescued	Myeloid	USE_27151	1.041	POC1A	0
OncotreeLineage	rescued	Lymphoid	USE_3988	1.168	PARP1	8
OncotreeLineage	rescued	Lymphoid	USE_8720	1.09	CLEC2D	12
OncotreeLineage	rescued	Lymphoid	USE_17533	0.908	SOX9	95
OncotreeLineage	rescued	Peripheral Nervous System	USE_10743	1.118	RIMBP2	45
OncotreeLineage	rescued	Lymphoid	USE_34131	0.985	TNFRSF21	23
OncotreeLineage	rescued	Lymphoid	USE_10731	0.917	TMEM132D	80
OncotreeLineage	rescued	Skin	USE_12338	0.912	FRMD6	179
OncotreeLineage	rescued	Skin	USE_32372	1.024	PFDN1	8
OncotreeLineage	rescued	Skin	USE_27351	1.291	KBTBD8	184
OncotreeLineage	rescued	Lymphoid	USE_2760	1.321	SLAMF1	3
OncotreeLineage	rescued	Lymphoid	USE_12552	1.033	PRKCH	134
OncotreeLineage	rescued	Lymphoid	USE_3200	1.179	COLGALT2	72
OncotreeLineage	rescued	Lymphoid	USE_23385	1.017	GPR55	16
OncotreeLineage	rescued	Lymphoid	USE_25823	0.798	GGTLC2	81
OncotreeLineage	rescued	Lymphoid	USE_12374	1.006	DDHD1	14
OncotreeLineage	rescued	Myeloid	USE_31234	1.09	CPLANE1	61
OncotreeLineage	rescued	Myeloid	USE_41992	0.941	GPR107	51
OncotreeLineage	rescued	Breast	USE_18486	0.869	LOXHD1	98
OncotreeLineage	rescued	Liver	USE_34268	1.107	PTP4A1	90
OncotreeLineage	rescued	Skin	USE_41014	0.952	ANKRD20A1	262
OncotreeLineage	rescued	Skin	USE_8325	0.914	KIRREL3	18
OncotreeLineage	rescued	Lymphoid	USE_12444	0.977	TMEM260	152
OncotreeLineage	rescued	Lymphoid	USE_22279	0.955	CXCR4	124
OncotreeLineage	rescued	Lymphoid	USE_42935	0.192	RPS4Y2	37
OncotreeLineage	rescued	Breast	USE_31197	1.421	PRLR	61
OncotreeLineage	rescued	Lymphoid	USE_11028	0.945	N4BP2L1	12
OncotreeLineage	rescued	Lung	USE_38889	1.174	CHD7	19
OncotreeLineage	rescued	Lymphoid	USE_29474	0.981	STIM2	51
OncotreeLineage	rescued	Skin	USE_41531	1.001	TMEM38B	547
OncotreeLineage	rescued	Myeloid	USE_4330	1.218	SMYD3	24
OncotreeLineage	rescued	Lymphoid	USE_41221	0.97	TUT7	254
OncotreeLineage	rescued	Bone	USE_42387	0.765	ADGRG2	121
OncotreeLineage	rescued	Bone	USE_6889	1.103	IFTAP	643
OncotreeLineage	rescued	Lymphoid	USE_25100	0.986	SAMSN1	113
OncotreeLineage	rescued	Skin	USE_35831	1.311	MACC1	16
OncotreeLineage	rescued	Lymphoid	USE_20265	1.043	ID2	198
OncotreeLineage	rescued	Peripheral Nervous System	USE_15492	1.085	CCDC102A	14
OncotreeLineage	rescued	Myeloid	USE_29813	0.973	ADAMTS3	88
OncotreeLineage	rescued	Liver	USE_26444	0.974	PPP6R2	6
OncotreeLineage	rescued	Lymphoid	USE_13176	1.063	PPP2R5C	70
OncotreeLineage	rescued	Myeloid	USE_3396	1.188	KIF21B	30
OncotreeLineage	rescued	Myeloid	USE_3435	1.186	PTPN7	6
OncotreeLineage	rescued	Peripheral Nervous System	USE_19475	0.962	PEPD	47
OncotreeLineage	rescued	Bone	USE_29247	0.807	CRMP1	49
OncotreeLineage	rescued	Lymphoid	USE_30929	0.993	UBE2QL1	21
OncotreeLineage	rescued	Testis	USE_37545	1.036	PODXL	74
OncotreeLineage	rescued	Soft Tissue	USE_42075	1.139	GTF3C5	8
OncotreeLineage	rescued	Myeloid	USE_36170	1.035	STARD3NL	60
OncotreeLineage	rescued	Lymphoid	USE_10525	0.985	RFC5	130
OncotreeLineage	rescued	Bone	USE_23163	1.076	TNP1	469
OncotreeLineage	rescued	Lymphoid	USE_23332	0.939	RHBDD1	6
OncotreeLineage	rescued	Lymphoid	USE_34179	1.032	IL17A	124
OncotreeLineage	rescued	Peripheral Nervous System	USE_5578	0.938	WAPL	222
OncotreeLineage	rescued	Testis	USE_21666	1.054	PLGLB2	324
OncotreeLineage	rescued	Lymphoid	USE_10849	0.956	MRPL57	41
OncotreeLineage	rescued	Lymphoid	USE_13296	1.243	TMEM121	218
OncotreeLineage	rescued	Myeloid	USE_32932	0.901	HRH2	22
OncotreeLineage	rescued	Soft Tissue	USE_6226	0.987	ADAM12	151
OncotreeLineage	rescued	Peripheral Nervous System	USE_24999	1.16	MYT1	18
OncotreeLineage	rescued	Bone	USE_34737	0.982	CLVS2	181
OncotreeLineage	rescued	Lung	USE_9936	1.011	PPFIA2	128
OncotreeLineage	rescued	Myeloid	USE_16654	1.045	SLFN11	18
OncotreeLineage	rescued	Pleura	USE_14150	1.127	NR2E3	113
OncotreeLineage	rescued	Lymphoid	USE_21825	0.962	LONRF2	153
OncotreeLineage	rescued	Testis	USE_37717	0.973	MKRN1	14
OncotreeLineage	rescued	Lymphoid	USE_31851	1.025	MEF2C	454
OncotreeLineage	rescued	Lymphoid	USE_36441	1.045	VOPP1	48
OncotreeLineage	rescued	Lymphoid	USE_34407	0.928	ZNF292	34
OncotreeLineage	rescued	Lymphoid	USE_28493	1.122	SEC62	26
OncotreeLineage	rescued	Bone	USE_11373	0.882	PCDH9	2655
OncotreeLineage	rescued	CNS/Brain	USE_40266	0.948	KHDRBS3	335
OncotreeLineage	rescued	Skin	USE_23716	1.121	PTPRA	9
OncotreeLineage	rescued	Skin	USE_26168	1.233	POLR2F	19
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_31707	0.849	CERT1	30
OncotreeLineage	rescued	Peripheral Nervous System	USE_26873	0.867	STAC	48
OncotreeLineage	rescued	Myeloid	USE_23974	0.992	SLC24A3	1
OncotreeLineage	rescued	Lymphoid	USE_1710	0.971	DIPK1A	58
OncotreeLineage	rescued	Skin	USE_33412	1.454	JARID2	89
OncotreeLineage	rescued	Bone	USE_39079	1.258	HNF4G	459
OncotreeLineage	rescued	Skin	USE_3225	1.138	SWT1	39
OncotreeLineage	rescued	Testis	USE_9416	1.282	SLC4A8	1
OncotreeLineage	rescued	Lymphoid	USE_2909	1.285	RCSD1	51
OncotreeLineage	rescued	Myeloid	USE_9581	1.037	ATP23	2
OncotreeLineage	rescued	Lymphoid	USE_28333	1.018	MME	240
OncotreeLineage	rescued	Bone	USE_31261	1.165	LIFR	176
OncotreeLineage	rescued	Myeloid	USE_9706	0.995	IRAK3	16
OncotreeLineage	rescued	Breast	USE_6174	0.947	GPR26	67
OncotreeLineage	rescued	Head and Neck	USE_38731	1.15	SNAI2	214
OncotreeLineage	rescued	Lymphoid	USE_29141	0.951	ZNF141	22
OncotreeLineage	rescued	Skin	USE_22438	1.008	NR4A2	643
OncotreeLineage	rescued	Myeloid	USE_27830	1.019	CASR	34
OncotreeLineage	rescued	Myeloid	USE_32840	0.909	STK10	2
OncotreeLineage	rescued	Myeloid	USE_24542	1.003	SULF2	281
OncotreeLineage	rescued	Lymphoid	USE_25408	1.055	ETS2	46
OncotreeLineage	rescued	Peripheral Nervous System	USE_26415	0.954	TAFA5	7
OncotreeLineage	rescued	Myeloid	USE_41057	0.895	CEMIP2	111
OncotreeLineage	rescued	Liver	USE_15677	1.107	TAT	22
OncotreeLineage	rescued	Lymphoid	USE_21185	1.106	EML6	90
OncotreeLineage	rescued	Bone	USE_4701	0.941	SLC39A12	138
OncotreeLineage	rescued	Lung	USE_6444	0.847	OR51E2	22
OncotreeLineage	rescued	Lymphoid	USE_20657	1.082	DTNB	105
OncotreeLineage	rescued	Breast	USE_17149	1.123	SCPEP1	41
OncotreeLineage	rescued	Bowel	USE_36104	1.132	NPSR1	112
OncotreeLineage	rescued	Bone	USE_40759	0.479	IFNE	191
OncotreeLineage	rescued	Lymphoid	USE_5673	1.026	HHEX	64
OncotreeLineage	rescued	Skin	USE_26234	0.84	ADSL	39
OncotreeLineage	rescued	Skin	USE_30360	0.801	MGST2	87
OncotreeLineage	rescued	Lymphoid	USE_11904	0.981	CDC16	7
OncotreeLineage	rescued	Bone	USE_28295	1.049	IGSF10	137
OncotreeLineage	rescued	Lymphoid	USE_37132	1.117	ORAI2	3
OncotreeLineage	rescued	Myeloid	USE_24053	1.148	CD93	43
OncotreeLineage	rescued	Kidney	USE_26790	0.865	RBMS3	105
OncotreeLineage	rescued	Peripheral Nervous System	USE_26414	0.954	TAFA5	36
OncotreeLineage	rescued	Lymphoid	USE_20214	1.02	DCDC2C	523
OncotreeLineage	rescued	Liver	USE_3758	1.186	PROX1	27
OncotreeLineage	rescued	Myeloid	USE_15268	0.942	ITGAL	24
OncotreeLineage	rescued	Lymphoid	USE_39497	1.107	ZFPM2	326
OncotreeLineage	rescued	Myeloid	USE_41267	0.879	S1PR3	73
OncotreeLineage	rescued	Bone	USE_19918	1.004	TRPM4	27
OncotreeLineage	rescued	Bowel	USE_17407	1.213	AXIN2	29
OncotreeLineage	rescued	Peripheral Nervous System	USE_18444	0.926	RIT2	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_3791	1.327	ESRRG	241
OncotreeLineage	rescued	Myeloid	USE_8255	1.172	UBASH3B	14
OncotreeLineage	rescued	CNS/Brain	USE_39992	14.478	POU5F1B	52
OncotreeLineage	rescued	Myeloid	USE_18945	0.991	S1PR4	3
OncotreeLineage	rescued	Kidney	USE_32445	1.11	ARHGAP26	177
OncotreeLineage	rescued	Head and Neck	USE_10320	0.965	PWP1	168
OncotreeLineage	rescued	Peripheral Nervous System	USE_30636	1.119	HAND2	238
OncotreeLineage	rescued	Lymphoid	USE_42349	0.724	FAM9C	35
OncotreeLineage	rescued	Skin	USE_40582	0.962	MLANA	6
OncotreeLineage	rescued	Skin	USE_14531	1.128	SV2B	358
OncotreeLineage	rescued	Lymphoid	USE_15173	1.007	IL4R	38
OncotreeLineage	rescued	Skin	USE_20660	1.12	DTNB	2
OncotreeLineage	rescued	Lymphoid	USE_8266	0.977	CLMP	132
OncotreeLineage	rescued	Peripheral Nervous System	USE_5522	1.076	ZMIZ1	144
OncotreeLineage	rescued	Myeloid	USE_37459	1.044	RBM28	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_32190	0.979	ADAMTS19	138
OncotreeLineage	rescued	Myeloid	USE_29069	1.022	ZDHHC19	23
OncotreeLineage	rescued	Kidney	USE_11664	1.019	TM9SF2	67
OncotreeLineage	rescued	Skin	USE_41036	1.007	APBA1	29
OncotreeLineage	rescued	Lymphoid	USE_8173	1.066	CXCR5	38
OncotreeLineage	rescued	Breast	USE_424	0.935	RCC2	13
OncotreeLineage	rescued	Myeloid	USE_36279	1.013	CCM2	12
OncotreeLineage	rescued	Soft Tissue	USE_28270	1.227	PFN2	139
OncotreeLineage	rescued	Peripheral Nervous System	USE_20438	16.757	DDX1	137
OncotreeLineage	rescued	Lymphoid	USE_32653	1.056	ITK	11
OncotreeLineage	rescued	Lymphoid	USE_335	0.985	PRDM2	34
OncotreeLineage	rescued	Skin	USE_22730	1.008	AGPS	119
OncotreeLineage	rescued	Peripheral Nervous System	USE_6165	0.956	BUB3	190
OncotreeLineage	rescued	Soft Tissue	USE_10765	1.025	SFSWAP	134
OncotreeLineage	rescued	Bone	USE_39063	1.27	LY96	108
OncotreeLineage	rescued	Lymphoid	USE_25816	0.964	ZNF280B	94
OncotreeLineage	rescued	Myeloid	USE_4531	0.961	SFMBT2	238
OncotreeLineage	rescued	Liver	USE_28291	0.939	GPR171	2
OncotreeLineage	rescued	Lymphoid	USE_21054	1.017	PRKCE	74
OncotreeLineage	rescued	Lymphoid	USE_26704	1.004	TBC1D5	162
OncotreeLineage	rescued	Skin	USE_22346	1.043	ZEB2	328
OncotreeLineage	rescued	Skin	USE_23578	0.87	HDAC4	29
OncotreeLineage	rescued	Lung	USE_39954	1.905	LRATD2	84
OncotreeLineage	rescued	Lymphoid	USE_31361	0.965	EMB	21
OncotreeLineage	rescued	Lymphoid	USE_28849	1.066	ST6GAL1	64
OncotreeLineage	rescued	Lymphoid	USE_30910	0.986	ADAMTS16	665
OncotreeLineage	rescued	Myeloid	USE_7199	1.032	SLC22A11	68
OncotreeLineage	rescued	Lymphoid	USE_29774	0.959	STAP1	7
OncotreeLineage	rescued	Breast	USE_40778	0.807	TUSC1	161
OncotreeLineage	rescued	Lymphoid	USE_25103	0.986	SAMSN1	182
OncotreeLineage	rescued	Myeloid	USE_31843	0.874	MEF2C	70
OncotreeLineage	rescued	Myeloid	USE_3766	1.158	SMYD2	53
OncotreeLineage	rescued	Lymphoid	USE_28058	1.002	BFSP2	53
OncotreeLineage	rescued	Bone	USE_36059	1.113	ITPRID1	64
OncotreeLineage	rescued	Lymphoid	USE_33844	1.037	DEF6	4
OncotreeLineage	rescued	Lymphoid	USE_5633	0.942	KIF20B	151
OncotreeLineage	rescued	Lymphoid	USE_34356	0.919	ELOVL4	33
OncotreeLineage	rescued	Lymphoid	USE_15234	0.996	NPIPB12	16
OncotreeLineage	rescued	Bowel	USE_11109	1.071	STOML3	25
OncotreeLineage	rescued	Eye	USE_32018	0.998	SLC25A46	17
OncotreeLineage	rescued	Skin	USE_24442	1.294	STK4	30
OncotreeLineage	rescued	Breast	USE_25427	1.013	HMGN1	24
OncotreeLineage	rescued	Lung	USE_12063	1.006	FOXG1	772
OncotreeLineage	rescued	Liver	USE_16432	0.988	FBXW10	9
OncotreeLineage	rescued	Bone	USE_3240	1.22	HMCN1	274
OncotreeLineage	rescued	Skin	USE_30071	0.69	H2AZ1	16
OncotreeLineage	rescued	Lymphoid	USE_14058	1.061	SKOR1	43
OncotreeLineage	rescued	Lymphoid	USE_23797	0.936	BMP2	149
OncotreeLineage	rescued	Soft Tissue	USE_2167	1.216	SPAG17	259
OncotreeLineage	rescued	Lymphoid	USE_20944	1.02	THUMPD2	94
OncotreeLineage	rescued	Lymphoid	USE_6707	0.943	ANO3	312
OncotreeLineage	rescued	Myeloid	USE_27191	0.94	LRTM1	32
OncotreeLineage	rescued	Lymphoid	USE_11777	0.87	MYO16	226
OncotreeLineage	rescued	Myeloid	USE_26706	1.074	TBC1D5	182
OncotreeLineage	rescued	Skin	USE_7126	0.977	RAB3IL1	11
OncotreeLineage	rescued	Liver	USE_2981	1.089	FMO2	38
OncotreeLineage	rescued	Bone	USE_3193	1.206	RGL1	7
OncotreeLineage	rescued	Lymphoid	USE_26239	1.021	SGSM3	46
OncotreeLineage	rescued	Lymphoid	USE_32313	1.013	SMAD5	4
OncotreeLineage	rescued	Kidney	USE_2851	1.24	NUF2	127
OncotreeLineage	rescued	Kidney	USE_23904	1.097	ISM1	73
OncotreeLineage	rescued	Breast	USE_16703	0.967	MRPL45	10
OncotreeLineage	rescued	Eye	USE_7737	0.951	CHORDC1	1019
OncotreeLineage	rescued	Myeloid	USE_33204	1.117	LY86	31
OncotreeLineage	rescued	Myeloid	USE_19985	1.192	SIGLEC6	14
OncotreeLineage	rescued	Esophagus/Stomach	USE_21587	0.972	LRRTM4	636
OncotreeLineage	rescued	Peripheral Nervous System	USE_26585	0.972	SYN2	102
OncotreeLineage	rescued	Bowel	USE_18110	1.005	VAPA	149
OncotreeLineage	rescued	Lung	USE_20209	1.086	ALLC	29
OncotreeLineage	rescued	Lymphoid	USE_971	1.048	SMAP2	14
OncotreeLineage	rescued	Lymphoid	USE_19637	1.109	LGALS16	20
OncotreeLineage	rescued	Myeloid	USE_3576	1.251	CTSE	3
OncotreeLineage	rescued	Lymphoid	USE_33780	1.08	HLA-DMB	6
OncotreeLineage	rescued	Lymphoid	USE_41027	0.987	PRKACG	74
OncotreeLineage	rescued	Lymphoid	USE_16853	1.084	CNTNAP1	15
OncotreeLineage	rescued	Lung	USE_41690	1.01	TNFSF8	3
OncotreeLineage	rescued	Lymphoid	USE_21988	0.973	ANAPC1	294
OncotreeLineage	rescued	Lymphoid	USE_36149	1.095	ELMO1	194
OncotreeLineage	rescued	Bowel	USE_17405	1.213	AXIN2	87
OncotreeLineage	rescued	Pleura	USE_9418	1.234	SCN8A	80
OncotreeLineage	rescued	Bone	USE_27923	1.105	KLF15	60
OncotreeLineage	rescued	Lymphoid	USE_34432	0.932	RNGTT	24
OncotreeLineage	rescued	Myeloid	USE_231	1.054	TMEM201	40
OncotreeLineage	rescued	Skin	USE_6786	1.039	C11orf91	80
OncotreeLineage	rescued	Lung	USE_35200	0.98	CNKSR3	142
OncotreeLineage	rescued	Kidney	USE_7936	0.994	SLN	17
OncotreeLineage	rescued	Lymphoid	USE_31531	1.053	LRRC70	115
OncotreeLineage	rescued	Liver	USE_8472	1.008	B3GAT1	533
OncotreeLineage	rescued	Lung	USE_21134	1.052	NRXN1	262
OncotreeLineage	rescued	Myeloid	USE_14524	1.069	SV2B	62
OncotreeLineage	rescued	Lymphoid	USE_11290	0.992	DLEU7	168
OncotreeLineage	rescued	Lymphoid	USE_2710	1.306	FCRL1	0
OncotreeLineage	rescued	Peripheral Nervous System	USE_2690	1.523	LRRC71	7
OncotreeLineage	rescued	Lymphoid	USE_13798	0.964	ONECUT1	430
OncotreeLineage	rescued	Myeloid	USE_9095	1.002	OVCH1	23
OncotreeLineage	rescued	Lung	USE_11667	0.956	CLYBL	0
OncotreeLineage	rescued	CNS/Brain	USE_10025	0.945	CCER1	383
OncotreeLineage	rescued	Lymphoid	USE_28705	0.939	SOX2	218
OncotreeLineage	rescued	Skin	USE_39070	1.187	PI15	19
OncotreeLineage	rescued	Lymphoid	USE_3064	1.124	BRINP2	98
OncotreeLineage	rescued	Lymphoid	USE_6468	0.96	OR10A6	42
OncotreeLineage	rescued	Liver	USE_15636	1.021	NQO1	6
OncotreeLineage	rescued	Lymphoid	USE_13180	1.063	PPP2R5C	2
OncotreeLineage	rescued	Bone	USE_39078	1.258	HNF4G	323
OncotreeLineage	rescued	Esophagus/Stomach	USE_27883	1.084	KALRN	105
OncotreeLineage	rescued	Skin	USE_1180	0.994	SPATA6	110
OncotreeLineage	rescued	Peripheral Nervous System	USE_12861	0.955	ADCK1	51
OncotreeLineage	rescued	Lymphoid	USE_28307	1.101	MBNL1	135
OncotreeLineage	rescued	Lymphoid	USE_30472	1.038	FBXW7	348
OncotreeLineage	rescued	Myeloid	USE_31848	0.874	MEF2C	78
OncotreeLineage	rescued	Soft Tissue	USE_13853	0.917	GCOM1	0
OncotreeLineage	rescued	Head and Neck	USE_10670	1.022	RFLNA	51
OncotreeLineage	rescued	Lymphoid	USE_32690	1.009	EBF1	220
OncotreeLineage	rescued	Peripheral Nervous System	USE_39103	1.02	STMN2	440
OncotreeLineage	rescued	Skin	USE_40239	1.226	ZFAT	307
OncotreeLineage	rescued	Soft Tissue	USE_20111	1.01	USP29	64
OncotreeLineage	rescued	Bone	USE_23967	0.961	SLC24A3	245
OncotreeLineage	rescued	Lymphoid	USE_39682	1.11	SAMD12	158
OncotreeLineage	rescued	Bone	USE_1787	1.093	PTBP2	209
OncotreeLineage	rescued	Bone	USE_13843	1.102	TCF12	41
OncotreeLineage	rescued	Testis	USE_1491	1.542	WLS	128
