level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
OncotreePrimaryDisease	Neuroblastoma	USE_20483	10	0.2534145553077044	1.949428651588444e-143	MYCN	280		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20449	9	0.2506799223308367	1.9220258985055288e-145	MYCN	94		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20448	5	0.1991624349671418	6.9144236393627306e-186	MYCN	100		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20478	4	0.1681064228755582	1.2160063719942693e-212	MYCN	239		82.941	True
OncotreeLineage	Peripheral Nervous System	USE_20459	13	0.1873583064372548	3.739277613293427e-68	MYCN	3		82.941	True
OncotreeLineage	Peripheral Nervous System	USE_20480	1	0.0768100858034925	1.0903206929994333e-107	MYCN	254		82.941	True
OncotreeLineage	Peripheral Nervous System	USE_20449	9	0.1688066508879075	3.800069854628951e-74	MYCN	94		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20480	1	0.1948048985655399	0.0	MYCN	254		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20458	15	0.2772330810106731	1.524850142969573e-126	MYCN	3		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20448	5	0.2736305381976858	8.074054254914284e-306	MYCN	100		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20479	3	0.1519632902334984	2.8595704804290744e-227	MYCN	248		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20471	13	0.2681378194480076	7.107893725075805e-133	MYCN	156		82.941	True
OncotreePrimaryDisease	Neuroblastoma	USE_20459	14	0.2696329737132645	8.033201543208225e-132	MYCN	3		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20459	9	0.3282940623413746	8.537957278760379e-226	MYCN	3		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20463	15	0.3471660455739492	5.4604264615896366e-201	MYCN	39		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20483	10	0.3294969704887835	3.6028431011844707e-224	MYCN	280		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20481	8	0.3015691010502367	2.1623204325038932e-263	MYCN	272		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20470	6	0.2905744825756205	1.071179918201637e-279	MYCN	150		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20477	2	0.206941256538869	0.0	MYCN	236		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20479	3	0.2223137908540974	0.0	MYCN	248		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20478	4	0.2400399394597129	0.0	MYCN	239		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20469	7	0.2993808517800637	1.335416590586259e-266	MYCN	134		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20449	11	0.3335509947080724	9.760592504953704e-219	MYCN	94		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20471	12	0.3393094694195936	3.827797480005405e-211	MYCN	156		82.941	True
OncotreeSubtype	Neuroblastoma	USE_20458	13	0.3409125003923341	4.698073893018967e-209	MYCN	3		82.941	True
line	SKNDZ	USE_20478	12	0.5088144237789984	0.0	MYCN	239		80.385	True
line	SKNDZ	USE_20473	6	0.4979451940139943	0.0	MYCN	171		80.385	True
line	SKNDZ	USE_20470	8	0.503454989056207	0.0	MYCN	150		80.385	True
line	SKNDZ	USE_20475	4	0.4947629551010328	0.0	MYCN	205		80.385	True
line	SKNDZ	USE_20469	2	0.4778010650437582	0.0	MYCN	134		80.385	True
line	SKNDZ	USE_20466	11	0.5086803839971308	0.0	MYCN	105		80.385	True
