level	n_pairs	per_pair	per_se_any	nearest	shuffled	background	enrichment	p
OncotreeLineage	14154	0.18030238801752155	0.34211489206000734	0.27277716794731066	0.043662568885120816	0.043622603868505506	4.133233049568039	0.0
OncotreePrimaryDisease	8403	0.1814828037605617	0.3320644216691069	0.27379209370424595	0.03486849934547186	0.030741844676270905	5.903445472179004	0.0
