level	group	se	gene	dist_kb	se_rank	se_fdr	gene_fdr	gene_specific	rho
OncotreeLineage	Bone	USE_3241	HMCN1	275	13	1.042105186672184e-100	1.9294771339067291e-10	True	0.1870590196365427
OncotreeLineage	Bone	USE_40679	CER1	1	14	9.155441231525637e-100	7.246842944627016e-46	True	0.17020577597579215
OncotreeLineage	Bone	USE_41223	GAS1	297	15	2.045635037121669e-99	1.8968374183497716e-05	True	0.23948886723197313
OncotreeLineage	Bowel	USE_15392	CYLD	16	1	4.686586986630396e-64	0.9141061589766081	False	0.07122762021746151
OncotreeLineage	Bowel	USE_33073	FOXQ1	258	2	7.171166790701334e-36	0.05889723555293296	True	0.489495936023914
OncotreeLineage	Bowel	USE_17405	AXIN2	87	3	5.440080197027941e-32	0.0814492867835745	True	0.34886459924999225
OncotreeLineage	Bowel	USE_24422	R3HDML	12	4	3.6500191807984387e-28	0.9003485398240321	False	0.26272010184469174
OncotreeLineage	Bowel	USE_17306	MED13	161	5	5.764856054375653e-28	0.9003485398240321	False	0.09205499492853803
OncotreeLineage	Bowel	USE_16174	SPNS3	15	6	4.324926503290143e-26	0.32457192316097183	False	0.18081269644446904
OncotreeLineage	Bowel	USE_597	SYF2	28	7	5.272587631479826e-26	0.9003485398240321	False	0.07152032290403874
OncotreeLineage	Bowel	USE_39987	POU5F1B	123	8	1.1572995194570991e-24	0.08727345974550889	True	0.4068425702824751
OncotreeLineage	Bowel	USE_10869	SGCG	461	9	1.2208514629289659e-24	1.0	False	-0.01745165882592137
OncotreeLineage	Bowel	USE_10073	EEA1	170	10	3.639291032367332e-24	0.9003485398240321	False	0.09430671870388897
OncotreeLineage	Bowel	USE_478	PLA2G2E	4	11	6.752927107329097e-24	1.1188253414367e-11	True	0.1858016770958793
OncotreeLineage	Bowel	USE_35527	ADAP1	0	12	1.7500195799799974e-23	0.8139897537045213	False	0.4940626035930727
OncotreeLineage	Bowel	USE_20536	VSNL1	18	13	4.1882056819956345e-23	0.005637983783240061	True	0.41773195960887294
OncotreeLineage	Bowel	USE_10951	CDX2	3	14	6.710386117245469e-23	4.311687389476683e-09	True	0.6432702152829608
OncotreeLineage	Bowel	USE_17403	AXIN2	142	15	1.6752608544757491e-22	0.0814492867835745	True	0.3721454449525212
OncotreeLineage	Breast	USE_7091	SLC15A3	2	1	5.369084934238965e-34	0.9003485398240321	False	0.2357286519096961
OncotreeLineage	Breast	USE_20580	RHOB	26	2	4.115613459746003e-32	0.9003485398240321	False	0.2713177682728196
OncotreeLineage	Breast	USE_23653	FAM240C	5	3	5.767827937576668e-32	0.9003485398240321	False	0.20973936921020309
OncotreeLineage	Breast	USE_34548	QRSL1	124	4	1.3877902082924831e-31	0.9003485398240321	False	0.07136621253158126
OncotreeLineage	Breast	USE_15826	MPHOSPH6	170	5	1.6191903518972278e-29	0.9003485398240321	False	0.16974856197096466
OncotreeLineage	Breast	USE_2034	LRIG2	149	6	5.040745305760172e-29	0.9003485398240321	False	0.09741835695333427
OncotreeLineage	Breast	USE_34547	QRSL1	118	7	2.9576122464310097e-28	0.9003485398240321	False	0.09776135955314413
OncotreeLineage	Breast	USE_42158	PPP1R26	90	8	3.269674696616256e-28	0.9003485398240321	False	0.26645954515227405
OncotreeLineage	Breast	USE_39607	TRPS1	170	9	1.7664006868629e-27	6.633548673091127e-11	True	0.4811781311466111
OncotreeLineage	Breast	USE_41725	TLR4	319	10	4.351611914338886e-27	1.0	False	-0.09462591746682757
OncotreeLineage	Breast	USE_19062	XAB2	5	11	1.758738755597165e-26	0.9003485398240321	False	-0.07462928562618444
OncotreeLineage	Breast	USE_28966	FGF12	144	12	1.2893421628615538e-25	0.16436379563323472	False	0.3266207032284005
OncotreeLineage	Breast	USE_424	RCC2	13	13	7.717133942075737e-25	0.9003485398240321	False	-0.03174486385713113
OncotreeLineage	Breast	USE_7309	ALDH3B2	3	14	7.779109870757111e-25	8.35174437766865e-89	True	0.6078228754764233
OncotreeLineage	Breast	USE_42159	PPP1R26	85	15	1.377410551916308e-24	0.9003485398240321	False	0.2846071141477781
OncotreeLineage	CNS/Brain	USE_40282	KHDRBS3	962	1	4.301406936935604e-192	0.9014331312870643	False	0.23130365777198206
OncotreeLineage	CNS/Brain	USE_40285	KHDRBS3	1064	2	2.736597176641205e-176	0.9014331312870643	False	0.2825336528276468
OncotreeLineage	CNS/Brain	USE_40284	KHDRBS3	1016	3	1.393299706823837e-168	0.9014331312870643	False	0.3073253895040604
OncotreeLineage	CNS/Brain	USE_40281	KHDRBS3	917	4	1.269118292305145e-146	0.9014331312870643	False	0.26445134493609884
OncotreeLineage	CNS/Brain	USE_40100	GSDMC	693	5	2.5580999320634116e-144	1.0	False	0.04452248918410953
OncotreeLineage	CNS/Brain	USE_40283	KHDRBS3	1021	6	1.7485784622092227e-141	0.9014331312870643	False	0.3060681575440937
OncotreeLineage	CNS/Brain	USE_40273	KHDRBS3	446	7	3.690548659597688e-128	0.9014331312870643	False	0.31670098480968933
OncotreeLineage	CNS/Brain	USE_40280	KHDRBS3	924	8	8.457662488870184e-118	0.9014331312870643	False	0.34731547933772094
OncotreeLineage	CNS/Brain	USE_11694	TMTC4	236	9	4.973798488318675e-90	0.9003485398240321	False	-0.0980519218178817
OncotreeLineage	CNS/Brain	USE_40101	GSDMC	688	10	6.333812122507819e-79	1.0	False	0.053022024076238926
OncotreeLineage	CNS/Brain	USE_40278	KHDRBS3	706	11	6.155751805942137e-72	0.9014331312870643	False	0.33749226771606217
OncotreeLineage	CNS/Brain	USE_39995	POU5F1B	40	12	3.0957534921716544e-68	0.9949204231647487	False	0.32903272373362025
OncotreeLineage	CNS/Brain	USE_11693	TMTC4	242	13	3.622574312822098e-68	0.9003485398240321	False	-0.07812780512315319
OncotreeLineage	CNS/Brain	USE_40266	KHDRBS3	335	14	1.7067947799658045e-64	0.9014331312870643	False	0.29165346738125875
OncotreeLineage	CNS/Brain	USE_20823	TTC27	191	15	3.3345421314327053e-59	0.9003485398240321	False	-0.011090328209609372
OncotreeLineage	Cervix	USE_23098	IKZF2	537	1	2.780000187233449e-74	0.920918338907925	False	-0.0031327749151122083
OncotreeLineage	Cervix	USE_4996	ANKRD30A	379	2	2.857489649988113e-54	1.0	False	-0.03411939541249067
OncotreeLineage	Cervix	USE_36835	SEMA3D	745	3	6.435263359600276e-54	0.3070067102059802	False	0.3001858130826483
OncotreeLineage	Cervix	USE_38011	PTPRN2	270	4	1.5709985124897971e-46	0.9215871549014026	False	0.07530258693831178
OncotreeLineage	Cervix	USE_12661	RAD51B	204	5	1.0151976172787653e-44	0.9003485398240321	False	0.1574400661818433
OncotreeLineage	Cervix	USE_42846	MAGEA4	5	6	1.7993446032130506e-44	0.13453588507980327	False	0.44866614964666246
OncotreeLineage	Cervix	USE_42712	PLS3	126	7	7.19783603294951e-43	0.9003485398240321	False	0.08858411766587061
OncotreeLineage	Cervix	USE_32142	ZNF608	630	8	1.768628106871803e-42	0.9003485398240321	False	0.3370590992667781
OncotreeLineage	Cervix	USE_4987	ANKRD30A	729	9	2.616693184748157e-39	1.0	False	0.0399372772866772
OncotreeLineage	Cervix	USE_34221	MLIP	81	10	4.913166953532728e-38	0.026333528032306368	True	0.21292648726713087
OncotreeLineage	Cervix	USE_33551	SOX4	69	11	1.276012235595458e-37	0.9003485398240321	False	0.38241927064590714
OncotreeLineage	Cervix	USE_32141	ZNF608	502	12	2.4034194125204336e-37	0.9003485398240321	False	0.35592132440950774
OncotreeLineage	Cervix	USE_8932	SOX5	269	13	8.082626562064689e-36	0.8114839881932017	False	0.33939545946316696
OncotreeLineage	Cervix	USE_11551	GPC5	1702	14	2.6845647096521437e-35	1.0	False	0.10361629358334083
OncotreeLineage	Cervix	USE_10202	ACTR6	229	15	6.144537401012161e-35	0.9003485398240321	False	0.208397088919277
OncotreeLineage	Esophagus/Stomach	USE_28201	DIPK2A	789	1	2.188940566083647e-84	0.9003485398240321	False	0.10916552711499765
OncotreeLineage	Esophagus/Stomach	USE_30907	ADAMTS16	809	2	1.0335740467536984e-68	0.9003485398240321	False	-0.041949721125313505
OncotreeLineage	Esophagus/Stomach	USE_19729	PSG3	67	3	5.576642631865207e-66	0.29189317946795634	False	0.02375902422637076
OncotreeLineage	Esophagus/Stomach	USE_3147	CACNA1E	187	4	3.9822130165044926e-61	1.0	False	0.23184460555526767
OncotreeLineage	Esophagus/Stomach	USE_26951	CTNNB1	46	5	2.3039916791977357e-52	0.9003485398240321	False	0.21881826775125413
OncotreeLineage	Esophagus/Stomach	USE_30617	GALNT7	300	6	4.383316888258465e-45	0.9003485398240321	False	0.13767915665239097
OncotreeLineage	Esophagus/Stomach	USE_30848	ZDHHC11B	11	7	1.17862988841006e-38	0.0007802769430408702	True	0.36101322767496574
OncotreeLineage	Esophagus/Stomach	USE_29417	PPARGC1A	652	8	2.1541067504762004e-36	0.9003485398240321	False	-0.05450698259832851
