level	n_pairs	per_pair	per_se_any	nearest	shuffled	background	enrichment	p
OncotreeLineage	182322	0.08690668158532706	0.18263684963481666	0.12610496197575483	0.03928763396627944	0.043622603868505506	1.9922396619719356	0.0
OncotreePrimaryDisease	404344	0.06061175632629642	0.13446193965333975	0.08682804461514478	0.02674455414201769	0.030741844676270905	1.971636932154614	0.0
OncotreeSubtype	719549	0.0527135747530745	0.1221204776375474	0.07541688078888696	0.02169970356431598	0.026440454506028277	1.9936712790264666	0.0
