level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42800	4	0.40343304209907893	8.242031434620327e-181	CT45A1	78		0.687
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_14275	5	0.4077549166088097	6.759268299550627e-175	TBC1D2B	6		0.904
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_19479	6	0.4087699463750715	1.5953703751211403e-173	CHST8	28		1.267
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_13104	7	0.41216471504181523	5.765597834417485e-169	BCL11B	534		0.939
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_6642	8	0.4163933749673616	2.266240708830074e-163	OTOG	54		1.255
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_20775	9	0.42030462944201624	2.752634323106654e-158	ALK	101		1.288
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_8292	10	0.4212039425607175	3.9828932017685896e-157	PKNOX2	35		0.71
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42801	11	0.4236665517123751	5.6713738731197266e-154	CT45A1	41		0.82
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_16196	12	0.424213373055616	2.808158264809074e-153	NLRP1	211		0.771
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_20111	13	0.4264559105446637	1.913445694045349e-150	USP29	64		1.086
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_9810	14	0.42648381046306316	2.070592607832778e-150	PTPRR	75		1.056
OncotreeSubtype	Alveolar Rhabdomyosarcoma	USE_42675	15	0.42715321767946524	1.4301953835751973e-149	NRK	25		0.352
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_4618	1	0.3784811496570547	8.431391515786211e-152	CAMK1D	98		0.524
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_16786	2	0.3786786911690298	1.3628406779986139e-151	CCR7	4		0.954
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_24133	3	0.384293415984995	1.0242056870416685e-145	DEFB115	1506		0.958
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_8948	4	0.3867731612037166	3.6748727511356487e-143	BCAT1	183		1.059
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_301	5	0.4032656956116073	9.800823407751963e-127	MFN2	6		0.993
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_24704	6	0.40685517173381147	2.7539201683191842e-123	TSHZ2	166		1.205
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_18813	7	0.40725223352532997	6.597408790608168e-123	MBP	66		1.235
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_34114	8	0.4123897784401238	4.461525129268783e-118	RCAN2	31		1.025
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_33185	9	0.41335323107282873	3.50571366916126e-117	LYRM4	97		1.207
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_25504	10	0.41552815865446596	3.5783905537846234e-115	SLC37A1	31		1.015
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_36328	11	0.4156857260961816	4.996409438180938e-115	TNS3	482		0.993
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_4507	12	0.417341549178194	1.646177984622573e-113	IL2RA	24		0.514
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_8541	13	0.4192308549484641	8.65986184099296e-112	CACNA1C	206		1.03
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_28021	14	0.4197946298328265	2.8082485729400484e-111	COL6A5	64		1.012
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Negative	USE_17811	15	0.42165876440934025	1.3466522249860442e-109	SLC26A11	25		0.483
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_35531	1	0.4316640529995385	9.87846680199801e-132	CYP2W1	9		1.301
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_16317	2	0.4430289524549623	2.465321714334939e-119	COX10	42		0.903
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_4216	3	0.46242268535672426	1.3168563267848947e-99	RYR2	166		1.396
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_20159	4	0.4648752573930291	3.053560720732477e-97	SNTG2	60		1.06
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_40372	5	0.4662620457355806	6.464311828208129e-96	PTP4A3	128		1.192
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_33199	6	0.47376571664214573	6.777564107192598e-89	NRN1	87		1.417
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_5793	7	0.4754485034816093	2.320354392485161e-87	SEC31B	6		0.89
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_14697	8	0.47719767803190294	8.857556793462413e-86	FAM234A	6		1.192
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_38841	9	0.4774982625742549	1.648941906890902e-85	FAM110B	454		1.403
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_38847	10	0.47783669402253154	3.321449068125955e-85	FAM110B	53		1.403
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_19733	11	0.48254891217394585	5.044738343952126e-81	PSG8	18		1.044
OncotreeSubtype	Anaplastic Large-Cell Lymphoma ALK Positive	USE_11036	12	0.48770492025970824	1.4209182841579608e-76	KL	44		1.089
