level	n_pairs	concordant	rate	background	shuffled	enrichment	p
OncotreeLineage	358	94	0.26256983240223464	0.043622603868505506	0.03910614525139665	6.0191233240848305	1.5912248138676464e-45
OncotreePrimaryDisease	654	161	0.24617737003058104	0.030741844676270905	0.045871559633027525	8.007891934364013	6.119160696710818e-94
OncotreeSubtype	1118	240	0.2146690518783542	0.026440454506028277	0.03577817531305903	8.118962245123692	7.859605327382291e-139
