ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C4279	3	0.67	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma	SYNS
C4304	1	1.00	Fibroblast	Non-Cancerous	Fibroblast, Bone	
C43223	3	1.00	Myeloid	Acute Myeloid Leukemia	Myeloid Leukemia Associated with Down Syndrome	MLADS
C4337	8	1.00	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma	MCL
C4349	53	1.00	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD
C4436	7	1.00	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Extrahepatic Cholangiocarcinoma	EHCH
C4450	14	1.00	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC
C4452	4	1.00	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	GCLC
C45540	1	1.00	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor	
C45544	2	1.00	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC
C4563	1	1.00	Myeloid	Myeloproliferative Neoplasms	Chronic Eosinophilic Leukemia, NOS	CELNOS
C45662	20	1.00	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type	PLEMESO
C45663	5	0.60	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	PLSMESO
C45665	7	1.00	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type	PLBMESO
C45716	3	0.67	Head and Neck	Head and Neck Carcinoma, Other	NUT Midline Carcinoma of the Head and Neck	NMCHN
C46008	3	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	HNSC
C46099	1	1.00	Thyroid	Medullary Thyroid Cancer	Medullary Thyroid Cancer	THME
C4646	3	1.00	Uterus	Gestational Trophoblastic Disease	Choriocarcinoma	UCCA
C4648	27	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	OCSC
C4656	1	1.00	CNS/Brain	Meningothelial Tumor	Meningioma	MNG
C4663	2	1.00	Lymphoid	Mature B-Cell Neoplasms	Splenic Marginal Zone Lymphoma	SMZL
C4664	1	1.00	Lymphoid	Mature T and NK Neoplasms	T-Cell Large Granular Lymphocytic Leukemia	TLGL
C4673	3	1.00	Myeloid	Acute Leukemias of Ambiguous Lineage	Acute Leukemias of Ambiguous Lineage	ALAL
C4683	1	1.00	Skin	Dermatofibrosarcoma Protuberans	Dermatofibrosarcoma Protuberans	DFSP
C4753	1	1.00	Lymphoid	Mature B-Cell Neoplasms	B-Cell Prolymphocytic Leukemia	BPLL
C4817	31	1.00	Bone	Ewing Sarcoma	Ewing Sarcoma	ES
C4819	5	1.00	Skin	Cutaneous Squamous Cell Carcinoma	Cutaneous Squamous Cell Carcinoma	CSCC
C4827	11	1.00	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	NBL
C4830	1	1.00	Bladder/Urinary Tract	Urethral Cancer	Urethral Urothelial Carcinoma	UCU
C4833	6	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	OCSC
C4863	9	1.00	Prostate	Prostate Adenocarcinoma	Prostate Adenocarcinoma	PRAD
C4866	1	1.00	Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina	VMM
C4872	22	1.00	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	IDC
C4878	1	1.00	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD
C4908	3	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	SOC
C4910	9	1.00	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD
C4911	6	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma	STAD
C4912	35	1.00	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	BLCA
C4917	80	1.00	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC
C4943	1	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Hypopharynx Squamous Cell Carcinoma	HPHSC
C5105	1	1.00	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	COADREAD
C5161	1	1.00	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	BRCA
C5214	9	1.00	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	BRCA
C5228	4	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	SOC
C5234	1	1.00	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma	LMS
C5243	4	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Mucinous Ovarian Cancer	MOV
C5248	1	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Mucinous Stomach Adenocarcinoma	MSTAD
C5250	6	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	DSTAD
C5473	9	0.89	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Tubular Stomach Adenocarcinoma	TSTAD
C5474	1	1.00	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Adenosquamous Carcinoma of the Stomach	STAS
C5543	10	1.00	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD
