cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_R725	HuO9-M112	Cancer cell line	Bone	Osteosarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	none	-	D	1	
CVCL_L154	JHC7	Cancer cell line	Bone	Chordoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_0426	MG-63	Cancer cell line	Bone	Osteosarcoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1411	MHH-ES-1	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_EI96	MIC	Cancer cell line	Bone	Ewing Sarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_0439	MNNG	Cancer cell line	Bone	Osteosarcoma	cellosaurus_ncit	3	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_9277	MUG-Chor1	Cancer cell line	Bone	Chordoma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_EJ01	POE	Cancer cell line	Bone	Ewing Sarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_2169	RD-ES	Cancer cell line	Bone	Ewing Sarcoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1658	Rh1	Cancer cell line	Bone	Ewing Sarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_9563	SaOS-LM1	Cancer cell line	Bone	Osteosarcoma	cellosaurus_ncit	4	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_0515	SaOS-LM7	Cancer cell line	Bone	Osteosarcoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	none	-	D	1	
CVCL_1697	SJSA-1	Cancer cell line	Bone	Osteosarcoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
