srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX16694170	Pancreas	MIA Paca-2	CVCL_0428	ACH-000601	Pancreas	Pancreatic Adenocarcinoma	1	1	1	48198665	97.9	7.8	11683
SRX16694171	Pancreas	MIA Paca-2	CVCL_0428	ACH-000601	Pancreas	Pancreatic Adenocarcinoma	1	1	1	39982450	97.6	11.6	6276
SRX1670480	Others	Tumor					0	0	1	23851458	99.3	14.6	19020
SRX16715743	Placenta	Trophoblast stem cells					0	0	1	35441595	95.0	16.5	24717
SRX16715744	Placenta	Syncytiotrophoblast					0	0	1	35650639	88.4	15.5	30798
SRX16715745	Placenta	Syncytiotrophoblast					0	0	1	34207407	95.1	16.7	30890
SRX16739007	Lung	NCI-H446	CVCL_1562	ACH-000800	Lung	Small Cell Lung Cancer	1	1	1	23952154	99.3	9.0	40586
SRX16739008	Lung	NCI-H446	CVCL_1562	ACH-000800	Lung	Small Cell Lung Cancer	1	1	1	23070535	99.3	10.1	36789
SRX16791294	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	25859114	98.2	19.8	24107
SRX16791295	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	34214547	98.3	18.5	27542
SRX16791296	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	27108000	98.2	22.7	23809
SRX16791297	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	39681041	98.0	13.5	22088
SRX16791298	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	25280604	96.4	18.1	20121
SRX16791299	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	35908586	97.5	18.6	28382
