srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX17360415	Others	Tumor					0	0	1	36445231	96.8	15.4	37850
SRX17360416	Others	Tumor					0	0	1	30234870	97.5	9.6	30258
SRX17360417	Others	Tumor					0	0	1	29407060	97.7	9.3	23082
SRX17360426	Unclassified	Unclassified					0	0	1	40196884	97.1	10.0	30768
SRX17360427	Others	Tumor					0	0	1	43617247	97.2	10.2	26730
SRX17360428	Unclassified	Unclassified					0	0	1	38450132	97.8	10.3	21262
SRX17360429	Others	Tumor					0	0	1	44150728	96.8	11.6	23441
SRX17360430	Unclassified	Unclassified					0	0	1	54004509	98.1	16.6	33463
SRX17360431	Others	Tumor					0	0	1	43591687	97.8	18.3	29816
SRX17360432	Unclassified	Unclassified					0	0	1	57377149	97.3	16.7	28870
SRX17360433	Others	Tumor					0	0	1	54299361	97.7	17.3	22680
