srx	cell	cvcl	model_id	lineage	subtype
SRX3459093	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX3482106	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3482107	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3482108	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3482109	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3489839	RMG-I	CVCL_1662	ACH-000719	Ovary/Fallopian Tube	Clear Cell Ovarian Cancer
SRX3517804	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX3517814	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX3566194	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX3566196	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX3566198	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX3566200	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX3583175	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3583183	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3583191	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3583199	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3583207	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3583219	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3586363	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX3590862	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3590863	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3590864	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3590865	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3590866	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3590868	LN-229	CVCL_0393	ACH-000595	CNS/Brain	Glioblastoma
SRX3591815	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3591816	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3591817	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3591821	HEL	CVCL_0001	ACH-000004	Myeloid	Acute Myeloid Leukemia
SRX3591822	HEL	CVCL_0001	ACH-000004	Myeloid	Acute Myeloid Leukemia
SRX3591823	HEL	CVCL_0001	ACH-000004	Myeloid	Acute Myeloid Leukemia
SRX3591829	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3591830	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3591831	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX3595682	HuH-7	CVCL_0336	ACH-000480	Liver	Hepatocellular Carcinoma
SRX3596431	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX3596434	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX3596437	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX3596440	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX366408	Jurkat	CVCL_0065	ACH-000995	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX3678225	U-87 MG	CVCL_0022	ACH-000075	CNS/Brain	Glioblastoma
SRX3678232	U-87 MG	CVCL_0022	ACH-000075	CNS/Brain	Glioblastoma
SRX3733781	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX3733790	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX3751764	LPS141	CVCL_M823	ACH-001799	Soft Tissue	Dedifferentiated Liposarcoma
SRX3753496	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
SRX3753498	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
SRX3753499	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
SRX3753501	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
SRX3785304	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3785305	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3785306	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3785307	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3824036	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX3824037	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX3859249	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3859250	RKO	CVCL_0504	ACH-000943	Bowel	Colon Adenocarcinoma
SRX3888136	SNU-398	CVCL_0077	ACH-000221	Liver	Hepatocellular Carcinoma
SRX3927291	EOL-1	CVCL_0258	ACH-000198	Myeloid	Chronic Eosinophilic Leukemia, NOS
SRX3931028	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931029	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931034	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931035	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931036	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931045	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931046	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931047	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931060	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931061	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931062	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931075	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931084	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931085	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931086	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
