srx	cell	cvcl	model_id	lineage	subtype
SRX4720617	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
SRX4720620	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
SRX4720621	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
SRX4786558	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4786559	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4786577	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4819698	DU 145	CVCL_0105	ACH-000979	Prostate	Prostate Adenocarcinoma
SRX4824694	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX4824695	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX484464	MDA-MB-231	CVCL_0062	ACH-000768	Breast	Invasive Breast Carcinoma
SRX484469	MDA-MB-231	CVCL_0062	ACH-000768	Breast	Invasive Breast Carcinoma
SRX484475	MDA-MB-231	CVCL_0062	ACH-000768	Breast	Invasive Breast Carcinoma
SRX4901019	SET-2	CVCL_2187	ACH-000195	Myeloid	Acute Megakaryoblastic Leukemia
SRX4901024	SET-2	CVCL_2187	ACH-000195	Myeloid	Acute Megakaryoblastic Leukemia
SRX4901030	SET-2	CVCL_2187	ACH-000195	Myeloid	Acute Megakaryoblastic Leukemia
SRX4901035	SET-2	CVCL_2187	ACH-000195	Myeloid	Acute Megakaryoblastic Leukemia
SRX4901064	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX4905640	KATO III	CVCL_0371	ACH-000793	Esophagus/Stomach	Signet Ring Cell Carcinoma of the Stomach
SRX4905642	SNU-719	CVCL_5086	ACH-000898	Esophagus/Stomach	Tubular Stomach Adenocarcinoma
SRX4905648	IM-95	CVCL_2961	ACH-000919	Esophagus/Stomach	Stomach Adenocarcinoma
SRX498151	RAJI	CVCL_0511	ACH-000654	Lymphoid	Burkitt Lymphoma
SRX4993127	U-87 MG	CVCL_0022	ACH-000075	CNS/Brain	Glioblastoma
SRX5027795	SK-HEP-1	CVCL_0525	ACH-000361	Liver	Hepatocellular Carcinoma
SRX5027796	SK-HEP-1	CVCL_0525	ACH-000361	Liver	Hepatocellular Carcinoma
SRX5077397	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX5077400	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX5089476	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089477	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089478	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089479	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089480	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089481	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX5089482	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
