srx	gsm	name	cell_group	cell_line	cell_type	antibody
SRX1665944	GSM2100293	H3K27ac (@ MD901)	Blood		diffuse large B-cell lymphoma cell line	H3K27Ac (ab4729, Rabbit, 2 ug)
SRX1665946	GSM2100295	H3K27ac (@ MD901)	Blood		diffuse large B-cell lymphoma cell line	H3K27Ac (ab4729, Rabbit, 2 ug)
SRX1665948	GSM2100297	H3K27ac (@ MD901)	Blood		diffuse large B-cell lymphoma cell line	H3K27Ac (ab4729, Rabbit, 2 ug)
SRX1665950	GSM2100299	H3K27ac (@ MD901)	Blood		diffuse large B-cell lymphoma cell line	H3K27Ac (ab4729, Rabbit, 2 ug)
SRX1665952	GSM2100301	H3K27ac (@ MD901)	Blood		diffuse large B-cell lymphoma cell line	H3K27Ac (ab4729, Rabbit, 2 ug)
SRX7646662	GSM4288482	H3K27ac (@ HAP1)	Blood	eHAP		anti-H3K27ac (MAB Institute, MABI0309)
SRX7646663	GSM4288483	H3K27ac (@ HAP1)	Blood	eHAP		anti-H3K27ac (MAB Institute, MABI0309)
SRX16495395	GSM6347283	H3K27ac (@ CD8+ T cells)	Blood		effector memory CD8-positive, alpha-beta T cell	
SRX16495396	GSM6347284	H3K27ac (@ CD8+ T cells)	Blood		effector memory CD8-positive, alpha-beta T cell	
SRX16500371	GSM6376839	H3K27ac (@ CD8+ T cells)	Blood		effector memory CD8-positive, alpha-beta T cell	
SRX16500372	GSM6376840	H3K27ac (@ CD8+ T cells)	Blood		effector memory CD8-positive, alpha-beta T cell	
SRX3089970	GSM2741449	H3K27ac (@ Erythroblasts)	Blood		erythroblasts	Abcam, ab4729
SRX11093746	GSM5363344	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX11093747	GSM5363345	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX11093748	GSM5363346	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX7897939	GSM4407571	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX7897940	GSM4407572	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX7897941	GSM4407573	H3K27ac (@ K-562)	Blood		erythroleukemia cells	H3K27ac (Abcam, ab4729)
SRX730770	GSM1523532	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730773	GSM1523535	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730782	GSM1523544	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730788	GSM1523550	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730794	GSM1523556	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730797	GSM1523559	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730803	GSM1523565	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
