srx	gsm	name	cell_group	cell_line	cell_type	antibody
SRX13942153	GSM5840015	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942154	GSM5840016	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942155	GSM5840017	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX13942156	GSM5840018	H3K27ac (@ Adipose endothelial cells)	Adipocyte			H3K27ac: Diagenode pAb-174-050
SRX3009972	GSM2698631	H3K27ac (@ Colon, Transverse)	Adipocyte			
SRX3092161	GSM2742099	H3K27ac (@ Subcutaneous adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092162	GSM2742100	H3K27ac (@ Subcutaneous adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092169	GSM2742107	H3K27ac (@ Visceral adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX3092170	GSM2742108	H3K27ac (@ Visceral adipocytes)	Adipocyte			H3K27ac, Diagenode C15410196
SRX8291425		H3K27ac (@ Adipocytes)	Adipocyte			
SRX8291426		H3K27ac (@ Adipocytes)	Adipocyte			
SRX8701051	GSM4663965	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701052	GSM4663966	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701053	GSM4663967	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701054	GSM4663968	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701055	GSM4663969	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701056	GSM4663970	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701057	GSM4663971	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX8701058	GSM4663972	H3K27ac (@ Visceral adipose)	Adipocyte			H3K27ac (Millipore #07-360)
SRX12412394	GSM5605584	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 04 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412395	GSM5605585	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 08 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412396	GSM5605586	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 12 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412397	GSM5605587	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 16 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412398	GSM5605588	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 20 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412399	GSM5605589	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 24 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX14057780	GSM5862377	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on 72 hours after adipogenic induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX12412393	GSM5605583	H3K27ac (@ Adipose stem cells)	Adipocyte		ASCs on the day of differentiation induction	anti-H3K27ac antibody (Diagenode c15410174), at 2.5 microgram per 10e6 cells
SRX019509	GSM534482	H3K27ac (@ Adipose stromal cell)	Adipocyte		Adipose stromal cell (ASC) adipocyte	H3K27ac
SRX019516	GSM534489	H3K27ac (@ Adipose stromal cell)	Adipocyte		Adipose stromal cell (ASC) adipocyte	H3K27ac
SRX019495	GSM534468	H3K27ac (@ Adipose stromal cell)	Adipocyte		Adipose stromal cell (ASC) pre-adipocyte	H3K27ac
SRX019502	GSM534475	H3K27ac (@ Adipose stromal cell)	Adipocyte		Adipose stromal cell (ASC) pre-adipocyte	H3K27ac
SRX21154882	GSM7660146	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154883	GSM7660147	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154884	GSM7660148	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154885	GSM7660149	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154886	GSM7660150	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154887	GSM7660151	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154888	GSM7660152	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX21154889	GSM7660153	H3K27ac (@ Capan-2)	Adipocyte	CAPAN2	PDAC Low-Grade	H3K27ac
SRX1272800	GSM1890750	H3K27ac (@ COLO 320)	Adipocyte	COLO 320		H3K27ac
SRX4466634	GSM3307292	H3K27ac (@ Liposarcoma)	Adipocyte		DDLPS primary tissue	H3K27ac (Abcam, #ab4729)
SRX4466636	GSM3307294	H3K27ac (@ Liposarcoma)	Adipocyte		DDLPS primary tissue	H3K27ac (Abcam, #ab4729)
SRX18769001	GSM6857891	H3K27ac (@ Adipose stem cells)	Adipocyte		Human primary adipose stem cells	H3K27ac (Diagenode c15410174)
SRX14923640	GSM6049736	H3K27ac (@ Lipo863B)	Adipocyte	Lipo863B		
SRX4466638	GSM3307296	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte		MLPS primary tissue	H3K27ac (Abcam, #ab4729)
SRX4466640	GSM3307298	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte		MLPS primary tissue	H3K27ac (Abcam, #ab4729)
SRX11379513	GSM5429804	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte	MLPS-1765-102		H3K27ac
SRX11379516	GSM5429807	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte	MLPS-1765-105		H3K27ac
SRX11379519	GSM5429810	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte	MLPS-1765-108		H3K27ac
SRX11379522	GSM5429813	H3K27ac (@ Liposarcoma, Myxoid)	Adipocyte	MLPS-1765-111		H3K27ac
SRX8433700	GSM4581207	H3K27ac (@ Adipocytes)	Adipocyte		adipocytes	H3K27ac (Abcam ab4729, Lot no GR3251519-1)
SRX8433703	GSM4581210	H3K27ac (@ Adipocytes)	Adipocyte		adipocytes	H3K27ac (Abcam ab4729, Lot no GR3251519-1)
SRX19304510	GSM7031640	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304519	GSM7031649	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304528	GSM7031658	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304531	GSM7031615	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304539	GSM7031623	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304547	GSM7031631	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304560	GSM7031667	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304568	GSM7031675	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304576	GSM7031683	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304585	GSM7031692	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304594	GSM7031701	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304599	GSM7031728	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304608	GSM7031737	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304616	GSM7031745	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304626	GSM7031779	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304636	GSM7031710	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304645	GSM7031719	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304656	GSM7031753	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304665	GSM7031762	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX19304674	GSM7031771	H3K27ac (@ Adipose stem cells)	Adipocyte	adipose derived stem cells (ASC)	stem cells	H3K27ac
SRX13551228	GSM5764472	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551229	GSM5764473	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551246	GSM5764490	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551247	GSM5764491	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551264	GSM5764508	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551265	GSM5764509	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551282	GSM5764526	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX13551283	GSM5764527	H3K27ac (@ Adipose stem cells)	Adipocyte		hASCs	
SRX660079	GSM1443805	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX660080	GSM1443806	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX660081	GSM1443807	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX660082	GSM1443808	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX660105	GSM1443831	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX660106	GSM1443832	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3	human adipose-derived stem cells	H3K27ac (ab4729; Abcam)
SRX9012293	GSM4748130	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012294	GSM4748131	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012295	GSM4748132	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012296	GSM4748133	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012297	GSM4748134	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012298	GSM4748135	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012299	GSM4748136	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX9012300	GSM4748137	H3K27ac (@ Adipose-Derived Mesenchymal Stem Cells)	Adipocyte	hMADS-3		H3K27ac (Abcam, ab4729)
SRX3751764	GSM3027215	H3K27ac (@ LPS141)	Adipocyte		liposarcoma cells	H3K27ac (Activemotif, #39133)
SRX3751774	GSM3027225	H3K27ac (@ 402-91)	Adipocyte		liposarcoma cells	H3K27ac (Activemotif, #39133)
SRX3751780	GSM3027231	H3K27ac (@ 1765-92)	Adipocyte		liposarcoma cells	H3K27ac (Activemotif, #39133)
SRX3751782	GSM3027233	H3K27ac (@ LP6)	Adipocyte		liposarcoma cells	H3K27ac (Abcam, #ab4729)
SRX825364	GSM1574235	H3K27ac (@ Capan-1)	Adipocyte		original Pancreatic Ductal Adenocarcinoma (PDAC) cell line	Anti-H3K27ac
SRX825365	GSM1574236	H3K27ac (@ Capan-2)	Adipocyte		original Pancreatic Ductal Adenocarcinoma (PDAC) cell line	Anti-H3K27ac
SRX23685588	GSM8092138	H3K27ac (@ Adipose stem cells)	Adipocyte		primary adipose stem cells	H3K27ac
SRX23685589	GSM8092139	H3K27ac (@ Adipose stem cells)	Adipocyte		primary adipose stem cells	H3K27ac
SRX067407	GSM733656	H3K27ac (@ K-562)	Blood			
SRX067522	GSM733771	H3K27ac (@ GM12878)	Blood			
SRX10184470	GSM5114233	H3K27ac (@ K-562)	Blood			H3K27ac
SRX10184471	GSM5114234	H3K27ac (@ K-562)	Blood			H3K27ac
SRX10184472	GSM5114235	H3K27ac (@ K-562)	Blood			H3K27ac
SRX10184486	GSM5114249	H3K27ac (@ K-562)	Blood			H3K27ac
SRX10184490	GSM5114253	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX10184501	GSM5114264	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX10184507	GSM5114270	H3K27ac (@ OCI-AML3)	Blood			H3K27ac
SRX10184508	GSM5114271	H3K27ac (@ KG-1)	Blood			H3K27ac
SRX10184509	GSM5114272	H3K27ac (@ MV-4-11)	Blood			H3K27ac
SRX10184513	GSM5114276	H3K27ac (@ K-562)	Blood			H3K27ac
SRX1048456	GSM1703895	H3K27ac (@ DOHH-2)	Blood			H3K27ac (39133, Active Motif)
SRX1048462	GSM1703901	H3K27ac (@ GRANTA-519)	Blood			H3K27ac (39133, Active Motif)
SRX1048464	GSM1703903	H3K27ac (@ JEKO-1)	Blood			H3K27ac (39133, Active Motif)
SRX1048466	GSM1703905	H3K27ac (@ JEKO-1)	Blood			H3K27ac (39133, Active Motif)
SRX1048468	GSM1703907	H3K27ac (@ JEKO-1)	Blood			H3K27ac (39133, Active Motif)
SRX1048473	GSM1703912	H3K27ac (@ Mino)	Blood			H3K27ac (39133, Active Motif)
SRX1048475	GSM1703914	H3K27ac (@ OCI-LY1)	Blood			H3K27ac (39133, Active Motif)
SRX1048479	GSM1703918	H3K27ac (@ OCI-LY-7)	Blood			H3K27ac (39133, Active Motif)
SRX1048484	GSM1703923	H3K27ac (@ Pfeiffer)	Blood			H3K27ac (39133, Active Motif)
SRX1048486	GSM1703925	H3K27ac (@ REC-1)	Blood			H3K27ac (39133, Active Motif)
SRX1048488	GSM1703927	H3K27ac (@ SU-DHL-4)	Blood			H3K27ac (39133, Active Motif)
SRX1048492	GSM1703931	H3K27ac (@ Toledo)	Blood			H3K27ac (39133, Active Motif)
SRX10853007	GSM5290959	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853008	GSM5290960	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853009	GSM5290961	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853010	GSM5290962	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853011	GSM5290963	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853012	GSM5290964	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853013	GSM5290965	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853014	GSM5290966	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853015	GSM5290967	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853016	GSM5290968	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853017	GSM5290969	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10853018	GSM5290970	H3K27ac (@ T cells)	Blood			H3K27ac (Abcam - ab4729)
SRX10976850	GSM5330926	H3K27ac (@ Peyers Patches)	Blood			
SRX10976851	GSM5330927	H3K27ac (@ Peyers Patches)	Blood			
SRX1122119	GSM1833875	H3K27ac (@ Leukemic blast cell)	Blood			H3K27ac (ActiveMotif, ab4729)
SRX11730621	GSM5516051	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27Ac (Active Motif) RRID:AB_2793305
SRX11730622	GSM5516052	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27Ac (Active Motif) RRID:AB_2793305
SRX11865061	GSM5531908	H3K27ac (@ SU-DHL-4)	Blood			H3K27ac (Abcam, ab4729)
SRX11865062	GSM5531909	H3K27ac (@ SU-DHL-4)	Blood			H3K27ac (Abcam, ab4729)
SRX13109961	GSM5686705	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX13109962	GSM5686706	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX13109963	GSM5686707	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX13109964	GSM5686708	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac
SRX13130617	GSM5689239	H3K27ac (@ NB-4)	Blood			H3K27ac
SRX13351040	GSM5723263	H3K27ac (@ THP-1)	Blood			
SRX13351041	GSM5723264	H3K27ac (@ THP-1)	Blood			
SRX13351042	GSM5723265	H3K27ac (@ THP-1)	Blood			
SRX13351043	GSM5723266	H3K27ac (@ THP-1)	Blood			
SRX13351044	GSM5723267	H3K27ac (@ THP-1)	Blood			
SRX13438136	GSM5734077	H3K27ac (@ Natural killer T-cell lymphoma)	Blood			anti-H3K27ac (Abcam, ab4729)
SRX13438138	GSM5734079	H3K27ac (@ Natural killer T-cell lymphoma)	Blood			anti-H3K27ac (Abcam, ab4729)
SRX13438140	GSM5734081	H3K27ac (@ Natural killer T-cell lymphoma)	Blood			anti-H3K27ac (Abcam, ab4729)
SRX13440046	GSM5737320	H3K27ac (@ MOLM-13)	Blood			H3K27ac (#39159, Active Motif)
SRX13440047	GSM5737321	H3K27ac (@ MOLM-13)	Blood			H3K27ac (#39159, Active Motif)
SRX13684795	GSM5790352	H3K27ac (@ Lymphoblastoid cell line)	Blood			
SRX13684796	GSM5790353	H3K27ac (@ Lymphoblastoid cell line)	Blood			
SRX13684797	GSM5790354	H3K27ac (@ Lymphoblastoid cell line)	Blood			
SRX13684798	GSM5790355	H3K27ac (@ Lymphoblastoid cell line)	Blood			
SRX14609216	GSM5971748	H3K27ac (@ THP-1)	Blood			
SRX15203420	GSM6122659	H3K27ac (@ Acute lymphoid leukemia)	Blood			Diagenode C15410196
SRX15203424	GSM6122663	H3K27ac (@ Acute lymphoid leukemia)	Blood			Diagenode C15410196
SRX15203432	GSM6122671	H3K27ac (@ Acute lymphoid leukemia)	Blood			Diagenode C15410196
SRX16838265	GSM6431462	H3K27ac (@ CCMCL1)	Blood			abcam #ab4729
SRX16838266	GSM6431463	H3K27ac (@ CCMCL1)	Blood			abcam #ab4729
SRX16838267	GSM6431464	H3K27ac (@ CCMCL1)	Blood			abcam #ab4729
SRX16838268	GSM6431465	H3K27ac (@ CCMCL1)	Blood			abcam #ab4729
SRX1733633	GSM2135469	H3K27ac (@ Macrophages)	Blood			
SRX1733635	GSM2135471	H3K27ac (@ Macrophages)	Blood			
SRX1733637	GSM2135473	H3K27ac (@ Macrophages)	Blood			
SRX1733639	GSM2135475	H3K27ac (@ Macrophages)	Blood			
SRX1761289	GSM2152595	H3K27ac (@ CD34+)	Blood			H3K27ac (Abcam ab4729)
SRX1761296	GSM2152602	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac (Abcam ab4729)
SRX1761299	GSM2152605	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac (Abcam ab4729)
SRX1761303	GSM2152609	H3K27ac (@ Acute myeloid leukemia)	Blood			H3K27ac (Abcam ab4729)
SRX18376813	GSM6755625	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376870	GSM6755626	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376871	GSM6755627	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376872	GSM6755628	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376873	GSM6755629	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376874	GSM6755630	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376875	GSM6755631	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376876	GSM6755632	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376877	GSM6755633	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376951	GSM6755634	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376952	GSM6755635	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376953	GSM6755636	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376954	GSM6755637	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376955	GSM6755638	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376956	GSM6755639	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376957	GSM6755640	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376960	GSM6755620	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376961	GSM6755621	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376962	GSM6755622	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376963	GSM6755623	H3K27ac (@ Follicular lymphoma)	Blood			
SRX18376964	GSM6755624	H3K27ac (@ Follicular lymphoma)	Blood			
SRX186655	GSM1003459	H3K27ac (@ CD20+)	Blood			
SRX186658	GSM1003462	H3K27ac (@ DND-41)	Blood			
SRX186755	GSM1003559	H3K27ac (@ Monocytes-CD14+)	Blood			
SRX20580074	GSM7441294	H3K27ac (@ OPM-2)	Blood			ab4729 from Abcam
SRX20580075	GSM7441295	H3K27ac (@ OPM-2)	Blood			ab4729 from Abcam
SRX20580079	GSM7441299	H3K27ac (@ OPM-2)	Blood			ab4729 from Abcam
SRX20759774	GSM7506740	H3K27ac (@ Bone marrow mononuclear cells)	Blood			
SRX2164054	GSM2310582	H3K27ac (@ Macrophages)	Blood			Rabbit polyclonal anti-H3K27ac (Diagenode, cat. # pAb-196-050)
SRX2164055	GSM2310583	H3K27ac (@ Macrophages)	Blood			Rabbit polyclonal anti-H3K27ac (Diagenode, cat. # pAb-196-050)
SRX2164056	GSM2310584	H3K27ac (@ Macrophages)	Blood			Rabbit polyclonal anti-H3K27ac (Diagenode, cat. # pAb-196-050)
SRX2381358	GSM2410100	H3K27ac (@ Pre-B ALL )	Blood			
SRX2381359	GSM2410101	H3K27ac (@ Pre-B ALL )	Blood			
SRX2381360	GSM2410102	H3K27ac (@ Pre-B ALL )	Blood			
SRX2381361	GSM2410103	H3K27ac (@ Pre-B ALL )	Blood			
SRX2438592	GSM2435536	H3K27ac (@ CLL)	Blood			
SRX2438594	GSM2435538	H3K27ac (@ CLL)	Blood			
SRX2438596	GSM2435540	H3K27ac (@ CLL)	Blood			
SRX2438598	GSM2435542	H3K27ac (@ CLL)	Blood			
SRX2438600	GSM2435544	H3K27ac (@ CLL)	Blood			
SRX2438602	GSM2435546	H3K27ac (@ CLL)	Blood			
SRX2438604	GSM2435548	H3K27ac (@ CLL)	Blood			
SRX2438606	GSM2435550	H3K27ac (@ CLL)	Blood			
SRX2438607	GSM2435551	H3K27ac (@ CLL)	Blood			
SRX24656401	GSM8286566	H3K27ac (@ Plasma)	Blood			
SRX24656402	GSM8286567	H3K27ac (@ Plasma)	Blood			
SRX24656403	GSM8286568	H3K27ac (@ Plasma)	Blood			
SRX24656404	GSM8286569	H3K27ac (@ Plasma)	Blood			
SRX24656405	GSM8286570	H3K27ac (@ Plasma)	Blood			
SRX24656406	GSM8286571	H3K27ac (@ Plasma)	Blood			
SRX24656407	GSM8286572	H3K27ac (@ Plasma)	Blood			
SRX24656408	GSM8286573	H3K27ac (@ Plasma)	Blood			
SRX24656409	GSM8286574	H3K27ac (@ Plasma)	Blood			
SRX24656410	GSM8286575	H3K27ac (@ Plasma)	Blood			
SRX2529792	GSM2473263	H3K27ac (@ RAJI)	Blood			H3K27ac (Abcam, ab4729, lot GR238071-1)
SRX2529793	GSM2473264	H3K27ac (@ RAJI)	Blood			H3K27ac (Abcam, ab4729, lot GR238071-1)
SRX2529794	GSM2473265	H3K27ac (@ RAJI)	Blood			H3K27ac (Abcam, ab4729, lot GR238071-1)
SRX2529795	GSM2473266	H3K27ac (@ RAJI)	Blood			H3K27ac (Abcam, ab4729, lot GR238071-1)
SRX3010162	GSM2701097	H3K27ac (@ Peyers Patches)	Blood			
SRX3031979	GSM2716691	H3K27ac (@ MOLM-13)	Blood			H3K27ac (Diagenode, #C15410196)
SRX3031989	GSM2716701	H3K27ac (@ MV-4-11)	Blood			H3K27ac (Diagenode, #C15410196)
SRX3031999	GSM2716711	H3K27ac (@ OCI-AML3)	Blood			H3K27ac (Diagenode, #C15410196)
SRX3395538	GSM2857833	H3K27ac (@ MOLT-16)	Blood			
SRX3545871	GSM2917528	H3K27ac (@ Bone marrow nuclear cells)	Blood			H3K27ac (Abcam, Cat. ab4729, Lot GR254707-1)
SRX3545875	GSM2917532	H3K27ac (@ Bone marrow nuclear cells)	Blood			H3K27ac (Abcam, Cat. ab4729, Lot GR254707-1)
SRX3545879	GSM2917536	H3K27ac (@ Bone marrow nuclear cells)	Blood			H3K27ac (Abcam, Cat. ab4729, Lot GR254707-1)
SRX3545883	GSM2917540	H3K27ac (@ Peripheral blood mononuclear cells)	Blood			H3K27ac (Abcam, Cat. ab4729, Lot GR254707-1)
SRX3636834	GSM2974429	H3K27ac (@ ALL xenograft)	Blood			H3K27Ac
SRX3636835	GSM2974430	H3K27ac (@ ALL xenograft)	Blood			H3K27Ac
SRX3636836	GSM2974431	H3K27ac (@ ALL xenograft)	Blood			H3K27Ac
SRX3636837	GSM2974432	H3K27ac (@ ALL xenograft)	Blood			H3K27Ac
SRX3824036	GSM3057092	H3K27ac (@ THP-1)	Blood			
SRX3824037	GSM3057093	H3K27ac (@ THP-1)	Blood			
SRX3989315	GSM3109178	H3K27ac (@ T-ALL)	Blood			H3K27Ac (ab4729, Abcam)
SRX4277962	GSM3208904	H3K27ac (@ Lymphoma, Mantle-Cell)	Blood			H3K27AC (Abcam ab4729)
SRX4277964	GSM3208906	H3K27ac (@ Lymphoma, Mantle-Cell)	Blood			H3K27AC (Abcam ab4729)
SRX4277966	GSM3208908	H3K27ac (@ Lymphoma, Mantle-Cell)	Blood			H3K27AC (Abcam ab4729)
SRX4277968	GSM3208910	H3K27ac (@ Lymphoma, Mantle-Cell)	Blood			H3K27AC (Abcam ab4729)
