normalization	sil_lineage	probe_cohesion	probe_clusters	pc1_var	pc2_var
raw_log	-0.078	0.847	yes	0.424	0.275
quantile	0.129	0.261	yes	0.172	0.141
reference	-0.152	0.869	yes	0.581	0.204
